Geneid	0_R1	0_R2	0_R3	0_R4	2_R1	2_R2	2_R3	2_R4	5_R1	5_R2	5_R3	5_R4	10_R1	10_R2	10_R3	10_R4	20_R1	20_R2	20_R3	20_R4	30_R1	30_R2	30_R3	30_R4	40_R1	40_R2	40_R3	40_R4	Entity	Symbol
gene-NRS_1942	4096	3650	3713	3398	4126	2306	2592	3864	2212	2160	2126	2004	1029	1850	2748	1618	1075	1377	385	730	1631	1065	1556	1113	1577	761	797	701	host	gene-NRS_1942
gene-CPT_phageK_gp177	26	175	50	42	292	208	327	480	867	1320	1237	1422	2958	3131	2990	3161	7156	10056	3912	4446	5849	5854	7408	5017	4022	7222	2754	2369	phage	gene-CPT_phageK_gp177
gene-NRS_2156	798	1461	1351	2326	773	1351	1372	1693	460	787	1312	951	308	653	374	270	229	265	238	184	374	272	300	254	238	234	190	171	host	gene-NRS_2156
gene-NRS_808	8243	5422	5318	4725	7219	4022	4249	6160	4208	2950	2865	2735	1361	1354	3870	1563	1918	1851	1151	1297	1942	1487	2062	1537	1903	928	1098	926	host	gene-NRS_808
gene-NRS_1635	4210	5022	4081	2734	4083	2410	3701	4597	2122	2358	2145	2564	1049	544	1602	775	874	817	476	541	904	643	1005	750	1069	613	617	460	host	gene-NRS_1635
gene-NRS_1932	20149	14868	13760	17652	23286	13253	13670	19406	14396	8892	10461	9624	5331	11740	19306	11874	8924	10285	5736	6608	10370	8175	10854	7615	10469	6720	5820	5176	host	gene-NRS_1932
gene-NRS_1225	32	23	18	18	23	16	13	19	15	23	13	9	10	5	21	5	5	7	1	4	6	3	0	10	10	2	1	5	host	gene-NRS_1225
gene-NRS_698	397	368	342	272	358	318	348	433	215	222	248	224	121	111	243	131	112	113	56	66	140	88	108	75	110	54	56	42	host	gene-NRS_698
gene-NRS_1476	700	505	453	431	672	420	456	597	391	312	387	314	159	194	345	213	149	193	101	101	192	125	192	168	190	94	102	94	host	gene-NRS_1476
gene-NRS_1877	4650	4328	3658	4805	4630	3601	3594	5045	2825	2295	2581	2409	1097	2190	3117	1864	1498	1436	839	917	1759	1391	1652	1217	1519	1111	1002	842	host	gene-NRS_1877
gene-NRS_166	113	119	82	81	118	59	88	105	91	45	67	56	41	33	92	29	45	54	17	26	69	56	52	51	67	59	50	29	host	gene-NRS_166
gene-NRS_749	1107	1010	866	919	1203	697	818	1184	648	492	520	579	278	388	596	347	298	322	218	223	461	273	399	270	330	228	164	166	host	gene-NRS_749
gene-NRS_1206	8495	6777	5840	7026	8505	5184	5388	7429	5783	4466	4700	4192	2010	4192	7146	4112	3027	3201	1492	1689	3488	2490	3235	2476	3343	1870	1662	1436	host	gene-NRS_1206
gene-NRS_1821	341	282	281	211	431	191	234	253	220	181	235	170	126	146	269	178	105	157	52	86	192	126	153	117	153	78	66	82	host	gene-NRS_1821
gene-NRS_416	2576	1874	1584	1906	2661	1722	1967	2234	1661	1437	1681	1362	619	1210	1562	1125	615	800	385	464	758	699	825	576	569	482	369	328	host	gene-NRS_416
gene-NRS_2189	93	97	45	90	92	61	67	86	37	40	44	48	17	54	51	42	31	27	10	20	41	29	32	38	29	19	34	33	host	gene-NRS_2189
gene-NRS_263	1072	1030	893	1046	1022	810	839	1203	619	641	698	667	377	482	706	498	339	408	282	327	388	254	395	267	487	269	228	180	host	gene-NRS_263
gene-NRS_2193	458	416	363	384	538	289	312	420	287	197	239	212	92	188	323	208	196	194	79	89	234	178	243	167	196	136	131	111	host	gene-NRS_2193
gene-NRS_2287	5872	4436	4161	4691	6358	4143	4511	5540	4366	3471	3954	3284	1731	2902	4908	2690	1994	2479	1436	1441	2556	2084	2685	1859	1922	1284	1240	1035	host	gene-NRS_2287
gene-NRS_2419	154	207	196	205	133	198	204	245	88	126	181	148	57	95	116	72	55	76	34	32	76	55	96	62	69	48	46	33	host	gene-NRS_2419
gene-NRS_2543	10648	11569	10359	10764	9953	9079	10309	12597	5587	7371	8270	6971	3179	4565	5240	3575	2633	3295	2199	2119	3547	3025	4053	3006	3088	2277	2164	1855	host	gene-NRS_2543
gene-NRS_2248	1692	1931	1772	1765	1682	1117	1443	1626	753	1031	1147	1081	428	949	1022	538	448	596	98	209	592	458	650	446	593	320	289	202	host	gene-NRS_2248
gene-NRS_1471	3643	3616	3154	3022	3404	2450	2855	3754	2098	2104	2164	2114	942	1153	2041	1422	1059	1203	659	747	1231	941	1404	979	1314	855	737	658	host	gene-NRS_1471
gene-NRS_440	5013	4544	3840	4198	4782	3270	3699	4787	2858	2542	2858	2623	1189	1749	3167	1757	1369	1459	525	750	1773	1475	1847	1250	1821	988	895	768	host	gene-NRS_440
gene-CPT_phageK_gp020	2979	3802	4036	5115	18992	18242	19033	26669	24776	26233	29900	26235	13455	21106	26724	18126	11982	15166	4243	6118	11868	11941	14257	10008	8643	8004	6180	4916	phage	gene-CPT_phageK_gp020
gene-NRS_2540	681	662	533	635	625	441	489	682	394	422	480	408	185	393	538	413	242	298	136	148	361	254	292	210	293	201	150	156	host	gene-NRS_2540
gene-NRS_43	2078	1907	1733	1409	2015	1240	1596	2109	1305	1246	1219	1240	587	547	1314	941	638	807	495	503	933	676	955	636	1002	513	497	490	host	gene-NRS_43
gene-NRS_1896	8344	7569	6710	7594	9933	6188	6750	8336	7265	5005	5974	5242	3226	5817	13028	6294	5957	5983	2580	3360	7433	4989	6084	4455	6289	3702	3416	2913	host	gene-NRS_1896
gene-NRS_2441	3249	2283	2410	1818	3110	1515	1584	2266	1489	1160	1230	1194	576	537	1083	567	475	571	278	324	706	433	612	440	744	309	323	306	host	gene-NRS_2441
gene-NRS_1702	10661	8103	7221	8669	11100	6716	7007	9798	7012	5388	6128	8592	2903	6527	8362	7038	4023	4685	2663	3107	5066	3869	4448	3235	4782	2645	2653	2477	host	gene-NRS_1702
gene-NRS_1395	3112	4319	3998	5643	3228	3618	3579	5086	1858	2240	2741	2475	1021	2894	2689	2276	1435	1519	923	975	1726	1510	1761	1358	1696	1042	1035	972	host	gene-NRS_1395
gene-NRS_411	60	43	59	40	57	31	51	47	35	51	39	35	22	15	15	23	14	16	8	2	13	12	21	11	14	11	15	7	host	gene-NRS_411
gene-NRS_354	173	47	38	42	200	36	44	63	132	35	32	32	16	30	78	30	31	33	20	17	47	25	39	29	24	23	18	13	host	gene-NRS_354
gene-NRS_307	507	489	453	357	492	333	340	468	331	296	282	281	114	172	314	222	126	154	77	104	197	143	198	139	139	103	91	77	host	gene-NRS_307
gene-NRS_2682	6466	9803	8532	9949	5271	6877	7622	10634	2894	4753	5592	4848	1966	3311	3219	3159	1876	2102	1815	1719	2687	1935	2559	1826	2850	1779	1540	1412	host	gene-NRS_2682
gene-NRS_2354	344	258	263	290	433	203	269	325	241	183	199	150	95	136	223	86	119	124	43	68	168	124	146	106	110	65	72	50	host	gene-NRS_2354
gene-NRS_974	2408	1940	1754	1711	2580	1409	1612	2264	1675	1178	1349	1162	624	767	1666	922	762	865	458	602	938	725	1057	662	806	501	495	440	host	gene-NRS_974
gene-CPT_phageK_gp116	30	90	37	67	149	161	246	416	1763	3183	3722	4289	11818	19134	20043	21558	20743	26905	13533	15319	26267	26273	32025	21874	32501	29388	24124	20952	phage	gene-CPT_phageK_gp116
gene-NRS_699	9043	13626	10579	12942	8796	7375	10703	14705	4465	6238	6488	6553	2285	3304	4707	3980	3118	2559	1422	1685	3802	2436	3506	2722	5231	2376	2344	2180	host	gene-NRS_699
gene-NRS_2669	1032	940	827	1115	1205	718	845	1060	806	508	664	590	326	659	1168	541	539	537	192	282	730	532	660	483	645	438	354	297	host	gene-NRS_2669
gene-NRS_1974	1899	2351	2314	2131	2870	1598	1914	2427	1084	1405	1798	1362	999	1367	1484	1530	903	1409	1236	1120	1154	1432	1715	1113	1034	1016	1122	898	host	gene-NRS_1974
gene-NRS_485	4180	4838	3991	4084	3927	2709	3414	4261	2155	2221	2474	2527	1054	1542	2206	1375	1002	1064	740	693	1311	1150	1231	930	1208	754	839	750	host	gene-NRS_485
gene-NRS_1147	27131	35275	30949	40686	24842	26378	27615	39435	14126	18288	21876	19796	8928	20704	21021	22841	11563	13024	7840	8582	14193	12364	14643	10438	14577	9567	9218	8044	host	gene-NRS_1147
gene-NRS_1473	403	443	453	405	405	253	334	450	254	222	286	261	112	181	266	223	121	136	64	89	189	143	167	147	243	144	106	90	host	gene-NRS_1473
gene-NRS_421	102	68	76	81	94	75	69	94	54	75	64	60	38	33	32	25	21	18	20	16	27	23	24	20	26	15	16	12	host	gene-NRS_421
gene-NRS_1705	6995	5386	5153	5910	5436	4952	5171	6989	3348	3723	4123	3520	1675	2715	3125	2303	1617	1945	985	1158	1936	1537	2191	1566	1750	1049	1066	923	host	gene-NRS_1705
gene-NRS_762	4123	3816	3511	3725	4582	2546	3029	4144	3117	2132	2321	2267	1075	1958	3649	2305	1649	1679	921	1124	1856	1383	1831	1330	1982	1070	1059	934	host	gene-NRS_762
gene-NRS_2098	30245	30566	26099	34699	27925	24795	24915	34486	16219	20616	19458	17189	7958	16003	16828	15009	8046	8360	3509	4348	10263	8618	9463	7082	10639	6183	5321	4632	host	gene-NRS_2098
gene-NRS_198	8388	3598	3175	3624	9667	2798	2979	4193	6770	2566	2694	2501	1515	3144	7497	3469	2667	3054	839	1467	3141	2241	2901	2049	3001	1809	1434	1266	host	gene-NRS_198
gene-CPT_phageK_gp064	724	2470	1848	2052	14754	13938	16252	29399	90889	105808	126275	138685	224058	508959	584653	462185	228458	258258	202740	193171	120687	121852	142505	101642	69976	59847	62196	52472	phage	gene-CPT_phageK_gp064
gene-NRS_546	576005	658136	568593	820647	534661	565138	555162	787619	316552	389476	463631	410553	207276	470913	389595	479483	202418	229734	125430	143434	277903	224798	252871	186907	314350	234395	164008	147780	host	gene-NRS_546
gene-NRS_1219	1216	1631	1421	1619	1468	934	1094	1523	741	741	810	813	276	502	810	552	372	468	253	237	493	373	476	349	470	299	261	235	host	gene-NRS_1219
gene-NRS_2352	3588	3462	2823	3223	3839	2303	2764	3472	2080	1688	1979	1601	726	1293	2300	1242	1011	1154	375	562	1427	970	1311	953	1268	814	773	596	host	gene-NRS_2352
gene-NRS_158	16	17	22	29	22	18	31	23	16	13	17	10	6	7	13	18	2	10	1	9	2	11	15	10	10	4	4	5	host	gene-NRS_158
gene-NRS_517	33298	35401	99344	30346	89991	23018	21477	29825	22617	130744	178385	28543	6850	16181	23713	15692	9627	10577	32180	21906	10181	9985	10376	7493	9481	6178	6605	5647	host	gene-NRS_517
gene-NRS_1125	15065	10651	9038	10655	15430	9251	8960	11937	8754	6247	7200	6638	3192	6332	7822	5594	3367	4036	1933	2293	4499	3489	6948	2812	4064	2236	2361	2052	host	gene-NRS_1125
gene-NRS_2570	649	719	603	780	744	433	549	728	458	357	424	359	168	383	595	388	348	318	155	197	396	294	395	243	428	280	241	214	host	gene-NRS_2570
gene-NRS_1633	3740	3714	3460	3517	3577	2691	2994	4242	2058	2255	2294	1985	957	1292	1819	1377	939	1176	554	738	1461	953	1238	937	1331	723	708	720	host	gene-NRS_1633
gene-NRS_955	883	994	1009	938	915	977	973	1025	912	850	889	857	709	659	928	480	701	766	1153	929	1140	904	1067	873	887	654	667	568	host	gene-NRS_955
gene-NRS_2277	760	722	599	589	709	507	527	651	381	308	358	292	149	247	432	307	250	201	54	86	305	284	303	189	337	188	149	147	host	gene-NRS_2277
gene-NRS_804	305	301	299	349	353	223	240	353	294	190	211	184	124	235	495	198	269	266	75	105	298	176	289	168	260	139	145	100	host	gene-NRS_804
gene-NRS_1779	682	507	464	361	547	279	352	531	323	275	286	269	120	129	247	137	113	124	54	68	138	104	119	113	141	88	80	56	host	gene-NRS_1779
gene-CPT_phageK_gp227	5	21	17	6	85	109	90	201	710	627	758	922	1485	2457	3946	2502	3744	4808	3775	3572	2690	2280	3587	2678	1905	1221	1380	1076	phage	gene-CPT_phageK_gp227
gene-NRS_1285	389	218	195	186	371	162	184	227	277	139	156	145	78	90	177	81	75	124	22	58	111	57	96	79	75	53	46	37	host	gene-NRS_1285
gene-NRS_520	13471	11791	10603	11692	15036	8545	9719	13546	9088	5842	7249	7199	3824	6547	13186	6882	6157	6236	3132	3997	7174	5229	7524	5510	6407	3714	3671	3145	host	gene-NRS_520
gene-NRS_2408	309	381	342	358	350	246	281	321	195	195	212	193	95	161	257	162	142	107	58	76	137	125	172	105	121	64	72	66	host	gene-NRS_2408
gene-NRS_2564	654	403	333	393	470	268	310	512	353	223	221	201	151	184	327	164	154	151	52	80	211	166	199	138	233	104	106	94	host	gene-NRS_2564
gene-NRS_1383	2321	1795	1545	1973	2513	1586	1903	2041	1531	1109	1390	1055	531	1225	3136	1006	670	761	282	395	843	670	736	560	643	367	367	348	host	gene-NRS_1383
gene-NRS_2562	532	444	445	397	511	399	425	533	323	289	309	276	115	157	208	113	109	118	88	65	147	103	139	94	124	56	64	62	host	gene-NRS_2562
gene-NRS_855	29013	32711	32946	34029	29368	25215	26459	38914	16927	18241	20380	19593	7849	11844	21116	15034	11070	11602	6776	8219	14689	10382	13972	10237	16912	9003	9116	8308	host	gene-NRS_855
gene-NRS_523	84884	74809	63628	81065	85207	51796	59755	85103	59806	38986	44527	43301	20162	43231	68916	39101	36037	32310	20835	23277	41647	30567	38432	27822	36449	20600	22609	20119	host	gene-NRS_523
gene-NRS_2262	1866	1881	1517	1935	1826	1381	1470	1993	1144	951	1138	924	438	853	1231	816	610	568	230	313	753	650	701	500	712	412	349	319	host	gene-NRS_2262
gene-NRS_2421	374	249	276	227	344	200	252	271	251	194	207	174	77	126	221	102	78	103	72	59	130	106	153	93	106	68	55	48	host	gene-NRS_2421
gene-NRS_358	3356	2100	1812	1895	3221	1479	1791	2338	2487	1519	1479	1404	806	1147	3529	1874	1425	1457	260	559	1459	1328	1594	1125	1475	1059	825	664	host	gene-NRS_358
gene-NRS_1197	10935	10659	8731	11228	9173	6856	7461	10405	5096	4727	5118	4716	1968	4095	5261	3358	2718	2476	1465	1617	3350	2618	2903	2138	3657	1838	1832	1731	host	gene-NRS_1197
gene-NRS_415	131	147	143	68	97	79	118	127	53	89	71	60	27	22	51	34	25	37	17	29	27	23	35	46	31	26	23	14	host	gene-NRS_415
gene-NRS_1457	91	84	94	93	89	61	74	117	65	58	65	71	49	73	82	43	54	72	33	37	83	61	99	71	66	45	53	42	host	gene-NRS_1457
gene-NRS_261	36745	31661	29503	30820	33665	21965	24855	34369	20351	17422	18645	17328	7682	12724	22082	14552	10830	11108	7510	7932	13034	10248	13407	9143	13837	7539	8124	7134	host	gene-NRS_261
gene-NRS_899	47	49	54	39	55	37	43	54	25	40	34	32	14	8	25	4	11	22	12	8	22	6	21	15	23	8	7	13	host	gene-NRS_899
gene-NRS_1405	84	103	82	71	66	66	66	77	49	44	31	40	22	26	57	24	29	24	13	19	30	28	47	22	32	32	14	10	host	gene-NRS_1405
gene-NRS_2331	2182	1834	1602	1410	2337	1339	1632	2077	1487	1278	1333	1235	576	695	1357	847	601	837	368	478	864	621	900	649	726	444	418	362	host	gene-NRS_2331
gene-NRS_1588	486	328	298	264	539	253	383	413	324	285	267	230	121	165	270	121	123	179	70	73	150	122	164	121	141	84	65	70	host	gene-NRS_1588
gene-CPT_phageK_gp010	1199	1280	1234	1442	5108	3820	4286	5407	4997	5251	5540	5183	2763	3030	4789	3389	1345	1720	605	855	1318	1294	1613	1151	967	856	749	649	phage	gene-CPT_phageK_gp010
gene-NRS_1279	944	641	539	590	1169	545	653	779	730	430	483	426	212	334	704	303	338	388	104	150	450	288	382	286	289	184	196	144	host	gene-NRS_1279
gene-NRS_815	7456	2067	1781	2096	8526	1848	1751	2331	5169	1463	1373	1344	846	2168	4467	2463	1623	1789	990	1136	1685	1349	1647	1145	1746	959	912	910	host	gene-NRS_815
gene-CPT_phageK_gp005	164	358	294	250	3362	2946	3558	5715	16056	19242	20722	22917	17324	18654	28195	14958	5877	7748	5886	5233	3915	3935	5169	3576	2307	1721	2048	1759	phage	gene-CPT_phageK_gp005
gene-NRS_2501	3849	3351	2532	2978	4061	2615	2677	3535	2559	1627	1715	1776	738	1318	2734	1189	1344	1296	522	677	1572	1186	1428	1064	1221	886	718	660	host	gene-NRS_2501
gene-NRS_2052	787	990	792	1078	669	1253	1447	1434	608	1067	1356	889	618	478	417	322	266	329	216	181	332	311	434	301	221	181	212	143	host	gene-NRS_2052
gene-NRS_147	595	579	426	524	642	354	486	579	324	295	351	305	142	204	380	270	212	224	78	98	264	171	289	173	223	163	140	110	host	gene-NRS_147
gene-NRS_595	479	344	349	285	532	211	271	329	332	257	253	182	117	208	240	160	93	117	82	73	128	90	157	138	133	61	52	62	host	gene-NRS_595
gene-NRS_1919	2293	2115	1787	2067	2233	1829	1938	2355	1316	1452	1608	1434	587	857	1204	907	496	692	336	351	761	658	847	563	616	472	395	308	host	gene-NRS_1919
gene-NRS_1399	1441	1665	1674	1019	1253	1084	1411	1564	761	1281	1261	1234	603	472	730	429	388	535	338	414	600	410	704	498	569	386	292	328	host	gene-NRS_1399
gene-NRS_1746	5399	8012	3984	4568	5600	2861	3599	4683	3452	2197	2567	2564	928	1763	4039	2058	2251	1838	921	1088	2794	1925	2111	1632	2420	1643	1455	1247	host	gene-NRS_1746
gene-NRS_801	722	587	553	594	641	493	509	617	402	388	406	380	153	252	376	227	135	196	135	102	224	177	196	148	169	154	154	129	host	gene-NRS_801
gene-NRS_1007	117142	123562	114161	149187	125347	104390	107732	151862	79020	74864	91782	81782	43861	100822	127695	112457	58408	70705	46601	50097	65630	56512	69575	48693	66660	44049	42050	35727	host	gene-NRS_1007
gene-NRS_1718	43041	44198	38841	44703	35037	32281	35231	47642	18629	22847	25916	22295	9088	14812	17962	14798	9211	10525	5374	6054	12881	9694	11870	8484	12605	7726	6681	5721	host	gene-NRS_1718
gene-NRS_1239	6219	4027	3691	3751	6427	2917	3237	4522	4413	2446	2329	2382	1090	1689	4437	1834	1827	1964	1042	1291	2230	1588	2187	1656	2146	1174	1227	1020	host	gene-NRS_1239
gene-NRS_2190	52	78	50	46	66	42	54	61	37	33	42	31	12	32	25	37	35	34	10	15	26	18	22	21	28	11	18	9	host	gene-NRS_2190
gene-NRS_1768	2879	2238	2073	2406	3018	2362	2202	2870	2096	1460	1692	1509	855	1326	1971	1093	904	1001	376	444	1104	814	991	799	986	566	495	417	host	gene-NRS_1768
gene-NRS_18	646	389	281	355	753	280	329	385	574	195	272	264	139	401	658	373	274	327	137	157	352	215	271	206	237	183	140	122	host	gene-NRS_18
gene-NRS_1441	63	59	43	61	79	52	43	61	45	37	39	32	18	27	48	26	26	22	18	11	28	23	34	30	38	21	15	15	host	gene-NRS_1441
gene-NRS_1651	77292	87930	82124	107092	68974	74155	76230	103850	37397	48399	52940	48155	22316	41272	40145	35745	22036	25160	18475	17885	29775	23981	29505	21609	32972	21102	19111	17032	host	gene-NRS_1651
gene-NRS_684	6389	5254	4949	4313	5656	4040	4590	5647	3731	3127	3101	2860	1535	1402	3603	1671	1560	1740	824	978	2004	1484	2052	1618	1897	1167	948	830	host	gene-NRS_684
gene-NRS_1648	12620	13048	11644	14672	12052	11558	10986	15937	7439	7521	8671	7545	4622	5898	7479	5433	4045	4378	2900	2883	5668	3951	5067	3846	6109	3415	3217	2814	host	gene-NRS_1648
gene-NRS_2199	692	583	485	508	697	364	471	623	440	350	343	324	139	167	356	175	194	229	98	130	196	145	242	124	181	115	92	101	host	gene-NRS_2199
gene-NRS_1240	112	40	65	38	88	27	37	49	89	22	33	26	19	9	54	18	29	16	13	14	32	24	29	18	36	15	20	17	host	gene-NRS_1240
gene-NRS_2261	3259	2999	2591	3680	3383	2266	2487	3285	1938	1623	1955	1655	751	2032	2619	1860	1290	1367	552	631	1811	1381	1481	1148	1587	948	818	779	host	gene-NRS_2261
gene-NRS_1255	25010	18226	14855	18901	28252	13003	14827	20442	18173	9238	10458	10272	5082	11142	21687	11292	10604	10359	6122	6807	11183	8778	10392	7961	10429	6522	6416	5406	host	gene-NRS_1255
gene-NRS_2219	165247	228668	206060	247934	132339	157917	171735	243394	56143	105896	124136	114222	43202	88132	66828	108180	45667	45518	48527	42481	64040	54003	59393	42795	91534	50630	51391	46765	host	gene-NRS_2219
gene-NRS_706	8725	6766	6596	5712	8187	4891	5391	7372	4847	4090	3996	3844	1957	2382	5548	3137	2694	2867	1286	1693	4225	2637	3483	2578	4981	2509	2146	1949	host	gene-NRS_706
gene-NRS_164	73	72	92	84	78	48	61	84	52	53	46	49	26	39	60	39	27	47	18	13	51	23	54	34	46	33	31	24	host	gene-NRS_164
gene-NRS_847	5277	5465	4627	5134	5325	3721	4159	5822	3458	2865	3427	3046	1455	2612	4144	2416	1822	1956	1129	1276	2153	1687	2194	1554	1807	1232	1175	959	host	gene-NRS_847
gene-NRS_1507	549	137	143	141	125	91	122	144	120	37424	114	101	61	109	138	90	112	97	19	28	105	124	146	108	112	88	79	59	host	gene-NRS_1507
gene-NRS_2548	521	375	373	390	650	340	375	448	294	213	245	239	141	194	325	197	175	223	90	146	242	161	273	167	239	160	119	106	host	gene-NRS_2548
gene-NRS_1538	749	636	611	352	586	338	556	571	298	345	399	321	152	93	186	73	89	97	42	60	138	101	153	101	133	61	79	54	host	gene-NRS_1538
gene-CPT_phageK_gp221	339	792	636	623	6705	6458	7006	12091	38249	50269	52896	58519	67635	88695	136227	88124	99413	70507	25941	104036	64263	49873	111114	144044	74373	112902	10696	84864	phage	gene-CPT_phageK_gp221
gene-NRS_331	2156	1480	1281	1460	2223	1052	1267	1682	1248	885	950	760	347	610	1212	695	553	673	194	297	729	492	699	512	689	490	331	282	host	gene-NRS_331
gene-CPT_phageK_gp003	205	390	337	284	3496	2839	3394	5540	14675	19629	20590	22579	17255	19955	26122	18970	5855	7123	7902	6250	3472	3947	5208	3436	2298	1541	2207	1681	phage	gene-CPT_phageK_gp003
gene-NRS_1903	62	85	91	43	80	31	79	74	41	57	55	39	30	20	60	36	24	39	10	9	25	24	45	36	27	17	12	10	host	gene-NRS_1903
gene-NRS_2207	72636	105508	93966	117826	58835	90831	90424	123410	29520	59125	69785	58493	24967	43359	33233	41508	20831	23666	9876	12813	31218	24994	29554	21181	36961	25423	18257	16227	host	gene-NRS_2207
gene-NRS_303	662	624	562	418	561	381	439	499	421	414	390	363	194	177	270	96	106	139	86	69	143	106	126	81	129	48	51	56	host	gene-NRS_303
gene-CPT_phageK_gp091	638	1020	1002	719	9053	7467	9700	15129	38815	56028	52878	58336	43249	34644	53279	32709	12118	15512	8527	10398	7650	9132	12887	7390	5006	4047	4394	4918	phage	gene-CPT_phageK_gp091
gene-NRS_1563	11746	12541	15095	27576	14877	19262	13088	16449	10791	9253	12159	10443	6827	15471	11440	8727	5548	7608	5921	5732	8402	5550	7172	5594	6844	3914	3628	3522	host	gene-NRS_1563
gene-NRS_1216	56575	38585	42563	51236	54669	26847	28690	46253	35876	20987	24261	23816	12582	26511	45002	25735	18091	19668	12656	13648	19201	15479	19418	14050	21149	12332	12731	10524	host	gene-NRS_1216
gene-NRS_1370	1920	1772	1430	1605	1810	1305	1409	1755	1096	923	962	902	417	646	1138	781	495	504	256	245	560	484	648	425	586	294	292	240	host	gene-NRS_1370
gene-NRS_2592	3573	2606	2200	2920	3143	1940	2043	2817	2133	1623	1961	1731	760	1600	2547	1755	1163	1251	414	554	1404	1066	1211	969	1296	908	687	566	host	gene-NRS_2592
gene-NRS_1697	377	296	293	259	399	208	282	346	308	208	240	235	106	208	319	171	155	189	101	108	183	153	239	158	171	128	121	103	host	gene-NRS_1697
gene-NRS_2210	5526	4567	4160	4528	5150	3110	3370	4838	2987	2631	2895	2605	1094	1783	3063	2251	1383	1389	631	751	1790	1327	1732	1160	1949	1108	960	871	host	gene-NRS_2210
gene-NRS_2147	19738	16134	13952	15376	17941	12128	13284	25716	11237	10063	10360	9685	4370	7153	11391	6618	5262	5574	3008	3130	6149	4848	5873	4441	6168	3373	3141	3040	host	gene-NRS_2147
gene-NRS_1622	27848	28677	27214	32178	26934	23018	24266	33337	15256	15442	17263	16068	7063	13998	17813	13456	9230	9909	5270	6426	12833	9008	11631	8665	14597	8013	7401	6711	host	gene-NRS_1622
gene-NRS_2391	2599	2713	2396	1947	2417	1408	1808	2599	1205	1293	1223	1136	481	470	1099	578	572	502	259	314	669	447	707	469	825	332	408	363	host	gene-NRS_2391
gene-NRS_441	6944	5619	5029	6600	6355	4144	4657	6986	3656	2745	3458	2905	1325	2888	3950	2322	1847	1821	687	1030	2319	1856	2142	1596	2351	1207	1254	1107	host	gene-NRS_441
gene-NRS_120	73	75	91	81	113	69	78	95	68	41	59	62	26	32	34	29	14	30	11	16	39	21	57	37	31	21	22	13	host	gene-NRS_120
gene-NRS_1291	357	248	229	294	445	167	227	303	280	146	194	162	87	151	279	167	123	141	87	105	118	121	128	89	123	76	86	72	host	gene-NRS_1291
gene-NRS_1295	630	442	370	221	401	260	314	388	267	422	303	351	173	80	207	138	80	80	54	46	110	86	88	95	131	56	52	47	host	gene-NRS_1295
gene-NRS_2321	1174	861	822	843	1217	841	888	1050	910	601	651	540	288	420	491	275	233	270	145	161	356	278	312	249	247	146	157	136	host	gene-NRS_2321
gene-NRS_1721	2425	2229	2062	1829	2397	1537	1736	2278	1574	1291	1211	1227	627	738	1572	732	736	715	312	398	713	650	865	637	808	484	398	350	host	gene-NRS_1721
gene-NRS_2656	912	585	503	565	967	349	480	594	646	393	441	374	243	532	802	470	321	406	216	284	396	365	446	329	379	252	247	166	host	gene-NRS_2656
gene-NRS_1488	697	592	531	472	625	342	380	618	320	351	344	299	134	252	392	320	204	213	179	145	287	153	241	199	275	169	155	162	host	gene-NRS_1488
gene-NRS_1713	12820	7803	6884	6903	13366	6400	7089	9203	8840	5564	5631	5048	2911	3976	9624	3838	3343	3781	1539	1869	3636	2730	3803	2840	2770	1793	1659	1417	host	gene-NRS_1713
gene-NRS_156	202	188	167	203	202	146	166	185	140	120	136	118	64	134	172	112	90	137	82	63	152	106	200	113	139	143	100	78	host	gene-NRS_156
gene-NRS_1101	22298	24972	22167	23330	18356	15252	18059	25476	10259	11611	12371	11640	4488	6868	9954	7294	5440	5135	2670	3348	7318	5216	6338	4781	8700	4849	4080	3736	host	gene-NRS_1101
gene-NRS_2519	714	678	578	613	719	441	544	593	421	387	449	416	209	377	460	331	216	309	226	205	253	206	317	216	215	183	172	127	host	gene-NRS_2519
gene-NRS_2048	510	434	391	396	552	266	348	481	376	268	307	262	178	290	585	321	290	377	225	275	355	248	418	304	343	215	198	206	host	gene-NRS_2048
gene-NRS_1367	69473	81902	76286	98406	67175	65395	69196	99850	36897	43605	53643	47979	21439	48702	48527	48526	28164	31024	23261	24615	38310	30318	39307	27530	42194	28874	25130	22418	host	gene-NRS_1367
gene-NRS_2102	32802	31176	25222	34470	32976	21319	27193	33361	21306	14956	17521	16374	6835	16468	25668	15679	12088	11191	5634	6631	13620	11158	12156	9200	13967	8459	7669	6789	host	gene-NRS_2102
gene-NRS_509	31478	29389	27183	30814	28502	24264	25516	34392	16968	16914	18659	16845	7667	11927	17676	12004	9586	9595	7075	7000	11955	9116	11112	8709	12432	7159	7057	6430	host	gene-NRS_509
gene-CPT_phageK_gp202	392	1107	731	584	6936	4683	5660	9942	29445	33302	33757	39913	61646	56175	98510	62562	43534	59436	27629	30036	25366	25331	37230	26467	14003	10642	10674	8606	phage	gene-CPT_phageK_gp202
gene-NRS_360	815	656	524	438	642	444	500	561	432	390	370	370	182	214	314	259	114	153	118	101	165	153	159	103	132	96	89	110	host	gene-NRS_360
gene-NRS_1867	3358	5504	5174	8696	3676	5148	5545	5279	2033	3159	4718	3916	1534	2622	1875	1590	1137	1344	1433	1178	1855	1400	1746	1323	1436	1709	1070	981	host	gene-NRS_1867
