Geneid	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	20_R2	20_R3	Entity	Symbol
gene-AUO97_RS02790	1078	943	875	1268	1217	1380	1413	1769	host	prpF
gene-AUO97_RS09750	101	70	65	65	80	85	66	68	host	gene-AUO97_RS09750
gene-AUO97_RS08885	111	76	52	101	105	102	149	167	host	gene-AUO97_RS08885
gene-AUO97_RS05620	403	456	438	421	477	486	315	394	host	gene-AUO97_RS05620
gene-AUO97_RS04730	577	403	382	577	525	492	449	558	host	gene-AUO97_RS04730_gene_yccS
gene-AUO97_RS11900	314	250	244	395	439	355	307	333	host	gene-AUO97_RS11900
gene-AUO97_RS17730	6230	4937	4978	7532	7221	6545	5624	6205	host	bamA
gene-AUO97_RS07045	1283	1002	951	1407	1324	1093	1356	1146	host	gene-AUO97_RS07045
gene-AUO97_RS17655	31	34	42	41	31	36	29	35	host	gigD
gene-AUO97_RS17530	1644	1159	1256	1936	1845	1830	1567	1574	host	gene-AUO97_RS17530
gene-AUO97_RS00265	0	0	0	0	0	0	0	0	host	gene-AUO97_RS00265
gene-AUO97_RS15190	95	81	69	77	94	69	54	73	host	gene-AUO97_RS15190
gene-AUO97_RS05190	571	517	570	631	743	662	502	549	host	hisH
gene-AUO97_RS09010	315	313	272	343	347	333	238	351	host	gene-AUO97_RS09010
gene-AUO97_RS17585	1954	1608	1787	1990	2209	2299	1404	2016	host	gene-AUO97_RS17585_gene_ptsP
gene-AUO97_RS12725	20	19	22	23	26	31	16	26	host	gene-AUO97_RS12725
gene-AUO97_RS09080	99	82	122	79	108	129	78	89	host	pilB
gene-AUO97_RS19390	2	0	0	2	1	0	0	0	host	gene-AUO97_RS19390
gene-AUO97_RS05390	307	291	267	353	334	351	367	363	host	gene-AUO97_RS05390
gene-AUO97_RS18260	0	0	0	0	0	0	0	0	host	gene-AUO97_RS18260
gene-AUO97_RS07400	43	58	70	34	50	25	29	21	host	gene-AUO97_RS07400
gene-AUO97_RS08410	0	1	0	1	1	3	0	0	host	gene-AUO97_RS08410
gene-AUO97_RS15780	564	394	428	725	588	600	410	407	host	gene-AUO97_RS15780
gene-AUO97_RS00750	1435	1209	1344	1523	1441	1711	817	893	host	gene-AUO97_RS00750
gene-AUO97_RS10155	396	372	457	457	480	525	372	479	host	gene-AUO97_RS10155
gene-AUO97_RS12395	27	10	17	32	30	29	41	40	host	gene-AUO97_RS12395
gene-AUO97_RS08790	1979	1600	1767	2134	2161	2273	1526	1877	host	gspD
gene-AUO97_RS19895	1	2	0	1	2	0	0	2	host	gene-AUO97_RS19895
gene-AUO97_RS15695	0	0	1	0	0	0	1	1	host	gene-AUO97_RS15695
gene-AUO97_RS02275	71	72	60	89	89	70	78	59	host	gene-AUO97_RS02275
gene-AUO97_RS18375	130	106	134	118	109	120	59	80	host	gene-AUO97_RS18375
gene-AUO97_RS03040	74	70	91	88	58	104	59	42	host	gene-AUO97_RS03040
gene-AUO97_RS02125	84	72	71	70	113	69	82	86	host	gene-AUO97_RS02125
gene-AUO97_RS01805	1	0	1	0	2	0	1	0	host	gene-AUO97_RS01805
gene-AUO97_RS08940	41	55	41	48	43	51	39	47	host	gene-AUO97_RS08940
gene-AUO97_RS13775	21	26	20	20	21	28	20	20	host	gene-AUO97_RS13775
gene-AUO97_RS18595	249	262	233	303	241	275	191	216	host	gene-AUO97_RS18595
gene-AUO97_RS05055	171	146	129	165	179	113	150	93	host	gene-AUO97_RS05055
gene-AUO97_RS18880	287	262	304	337	363	360	211	235	host	prmC
gene-AUO97_RS14235	135	124	164	221	133	165	167	155	host	gene-AUO97_RS14235
gene-AUO97_RS02840	177	171	129	179	174	112	116	136	host	gene-AUO97_RS02840
gene-AUO97_RS14740	741	404	444	250	319	352	212	234	host	tauD
gene-AUO97_RS17785	1343	1227	1252	1556	1624	1678	1032	1177	host	argF
