Geneid	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-AUO97_RS15695	0.017904476731208183	0.01741058804158811	0.01610287236804393	0.012657319577847473	0.01640426331819986	0.02050952917809889	host	gene-AUO97_RS15695	None	None	0.00032827056520356854
gene-AUO97_RS04110	22.81767578715443	15.751225073624441	5.006390305592444	4.218781979293316	2.8946473150219005	2.699926390852629	host	gene-AUO97_RS04110	None	None	6.597285300421759
gene-AUO97_RS04030	3.601933106400806	2.7481742694244753	2.442081108975702	1.5278017596440794	0.35539836478880005	0.44433894964351245	host	gene-AUO97_RS04030	None	None	0.7680053761872908
gene-M172_gp33	912.3194764925572	1044.3906516983336	6812.976811142388	7280.7706070544145	10653.387691424849	9373.825965323473	phage	gene-M172_gp33	middle	late	2377.6361413217
gene-AUO97_RS03130	57.96042046474478	42.263920137095	12.526946670421417	10.778254964086436	7.711732857579368	7.239808368708967	host	gene-AUO97_RS03130	None	None	16.857621535293863
gene-AUO97_RS09665	23.9740001089997	19.644671936236875	6.033068260627405	6.556558158796453	3.8657365994571227	4.209526891359592	host	gene-AUO97_RS09665	None	None	5.973328469154012
gene-AUO97_RS13275	30.146922402745524	19.997199283639247	6.792535972122521	6.480043635023749	5.233071972999396	5.358353658954758	host	alaS	None	None	7.2976346895995
gene-AUO97_RS13360	21.439437533991356	13.576075060263683	4.282230595291255	3.936457110360025	4.313086951320389	2.6808244534664065	host	gene-AUO97_RS13360	None	None	5.636382048961172
gene-AUO97_RS19915	0.19790841243960472	0.1924491785311257	0.1779942499253427	0.1399085860479926	0.18132569632081633	0.22670354573648593	host	gene-AUO97_RS19915	None	None	0.0036285621403751595
gene-AUO97_RS02840	12.60498214851388	8.094428968261939	4.919669397078142	4.06875785004806	1.0895106216701411	2.0160074968497805	host	gene-AUO97_RS02840	None	None	2.7804587232750624
gene-AUO97_RS05130	0.07804838800435117	0.07589545068833127	0.07019491546351543	0.05517521703301117	0.07150872530961772	0.08940421522002262	host	gene-AUO97_RS05130	None	None	0.0014309822525423168
gene-AUO97_RS13485	9.015171265159308	5.388576998871519	2.008412730500882	2.981932251888559	1.8944475735010662	1.8000938258479182	host	cueR	None	None	1.7851847190537797
gene-AUO97_RS10630	0.7574624130781994	0.4264341509898325	0.3226946113754415	0.2536472207488787	0.03652603954663926	0.045666901299436014	host	gene-AUO97_RS10630	None	None	0.1963301727333544
gene-AUO97_RS09790	116.0343019358022	87.25140332516207	27.637652624771395	26.94724160366791	16.66731147999423	15.324243717864281	host	metW	None	None	31.31159782215767
gene-AUO97_RS03935	15.80335323036251	10.338084760797953	3.580980613312821	2.4085003998187764	1.9932395062228996	2.2099397495497444	host	gene-AUO97_RS03935	None	None	4.515739449391367
gene-AUO97_RS03220	31.811944814366097	20.423372082142674	7.198878552536082	8.850513517406347	6.080007298856015	5.877499333908895	host	gene-AUO97_RS03220	None	None	6.949525977633292
gene-AUO97_RS09345	1.300806466739186	0.4553727041299876	0.5147627133991132	0.25748434615405213	0.2383624176987257	0.41721967102677227	host	gene-AUO97_RS09345	None	None	0.24245476952771125
gene-AUO97_RS12520	2.4884182273538222	1.7284114902040724	0.8463122826638937	0.7243569058786636	0.44065565445511595	0.5509323903935733	host	gene-AUO97_RS12520	None	None	0.48073379802595506
gene-AUO97_RS19005	8.723492375769244	5.584799690707177	2.14989133243159	1.6020904755299543	0.9955136268593838	0.8890335126921017	host	alr	None	None	2.504918302753354
gene-AUO97_RS09905	5.45185113990671	4.007209685073047	1.818583283301885	1.9722910144040344	0.9145850364079974	0.5570729160822656	host	gene-AUO97_RS09905	None	None	1.2229314767672705
gene-AUO97_RS08415	0.06676428371456544	0.19476784333270555	0.06004625298686259	0.04719807722100955	0.0611701144214802	0.07647830458580247	host	gene-AUO97_RS08415	None	None	0.029760678885223726
gene-AUO97_RS12865	0.019897434643838176	0.019348570911567397	0.017895292631632302	0.014066213319008232	0.018230231587012057	0.02279245702198063	host	gene-AUO97_RS12865	None	None	0.0003648105563034272
gene-AUO97_RS09270	10.669331130326153	8.12307875949289	2.7522692973530605	2.358260146918403	1.5913359617408955	1.547449078360491	host	gspF	None	None	2.8107139443861673
gene-AUO97_RS14240	3.172129183130908	2.9322998509760216	0.66920806332355	0.85823782819546	0.5382105473833418	0.3140204591120229	host	gene-AUO97_RS14240	None	None	0.9708508477279811
gene-AUO97_RS16375	1.7685432600985955	1.7197586166611234	0.10603912761509779	0.4167489797174248	0.3240714572542249	0.13505743150258737	host	gene-AUO97_RS16375	None	None	0.6852070891622103
gene-M172_gp10	21622.001578759333	23661.274660799438	24843.06149810752	32540.56724417701	13912.366452793749	14216.587698050827	phage	gene-M172_gp10	early	middle	1894.8530841178786
gene-AUO97_RS13430	55.41435548308933	43.079409611574484	16.018517754798864	13.652651399501673	8.888398902577034	9.598959887769258	host	gene-AUO97_RS13430	None	None	13.339275123990843
gene-AUO97_RS04370	2073.3803123288653	1683.656978531465	753.7153614954585	693.5005014512236	580.6311587056772	512.3237288953873	host	rplP	None	None	345.09047149284584
gene-AUO97_RS04675	32.26346919237645	29.883318369050453	7.309630530267407	5.51343465018756	4.086767792633115	4.169106194186043	host	gene-AUO97_RS04675	None	None	10.783152145478407
