Geneid	5_R1	5_R2	30_R1	30_R2	60_R1	60_R2	120_R1	120_R2	Entity	Symbol
gene-TX72_RS05155	717	861	115	181	99	44	13	19	host	gene-TX72_RS05155
gene-TX72_RS12030	179	127	20	36	11	6	5	5	host	gene-TX72_RS12030
gene-BSV9_gp71	55	137	39370	113059	83806	41305	9940	12333	phage	gene-BSV9_gp71
gene-TX72_RS05515	5	4	2	8	3	3	0	2	host	gene-TX72_RS05515
gene-TX72_RS08175	101	135	19	30	10	7	1	3	host	gene-TX72_RS08175
gene-TX72_RS09255	112	101	19	37	19	9	5	7	host	gene-TX72_RS09255
gene-TX72_RS02230	66	54	14	31	10	3	0	0	host	gene-TX72_RS02230
gene-TX72_RS04850	55	64	5	17	7	3	3	3	host	gene-TX72_RS04850
gene-TX72_RS14590	94	111	31	47	33	10	2	8	host	gene-TX72_RS14590
gene-TX72_RS02645	859	1211	69	85	49	24	8	12	host	rpmA
gene-TX72_RS00010	94	89	14	19	6	5	2	4	host	gene-TX72_RS00010
gene-TX72_RS09825	98	81	16	27	12	7	3	4	host	gene-TX72_RS09825
gene-TX72_RS05030	82	66	11	18	11	6	2	2	host	gene-TX72_RS05030
gene-TX72_RS11485	388	351	48	92	58	14	4	14	host	gene-TX72_RS11485
gene-TX72_RS10745	11540	13577	2050	3137	1548	904	329	411	host	fusA
gene-TX72_RS11985	354	405	65	75	41	28	11	12	host	gene-TX72_RS11985
gene-TX72_RS11750	118	145	17	17	4	2	3	1	host	gene-TX72_RS11750
gene-TX72_RS13875	2914	2402	693	1234	454	331	145	111	host	gene-TX72_RS13875
gene-TX72_RS09435	481	547	74	127	42	24	9	5	host	gene-TX72_RS09435
gene-TX72_RS10380	467	400	40	82	28	16	7	6	host	gene-TX72_RS10380
gene-TX72_RS00385	132	140	20	44	20	9	5	4	host	mutS
gene-TX72_RS00065	728	643	68	138	63	31	13	8	host	argH
gene-TX72_RS04435	53	59	7	9	5	4	1	2	host	gene-TX72_RS04435
gene-TX72_RS04995	123	103	23	31	16	6	2	8	host	murF
