Geneid	15	60	180	300	420	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-SynWH7803_0711	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0711	None	None	53.45139987478252
gene-SynWH7803_1498	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1498	None	None	402.38774492633667
gene-SynWH7803_2031	0.0	0.0	0.0	0.0	0.0	host	resB	None	None	17.641159180094085
gene-SSBP1_gp25	0.0	0.0	0.0	0.0	0.0	phage	gene-SSBP1_gp25	middle	late	6454.384272794588
gene-SynWH7803_2152	0.0	0.0	0.0	0.0	0.0	host	fbaB	None	None	7.728151086772545
gene-SynWH7803_0453	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0453	None	None	13.793520610889434
gene-SynWH7803_2292	0.0	0.0	0.0	0.0	0.0	host	gltA	None	None	15.256589142346302
gene-SynWH7803_0573	0.0	0.0	0.0	0.0	0.0	host	proC	None	None	47.877372824579766
gene-SynWH7803_0964	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0964	None	None	71.02360610311453
gene-SynWH7803_0015	0.0	0.0	0.0	0.0	0.0	host	dusA	None	None	32.90186479862966
gene-SynWH7803_1768	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1768	None	None	41.18261672953646
gene-SynWH7803_0730	0.0	0.0	0.0	0.0	0.0	host	ictA	None	None	90.09914416560697
gene-SynWH7803_0113	0.0	0.0	0.0	0.0	0.0	host	wcaG	None	None	12.423667888939658
gene-SynWH7803_0514	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0514	None	None	53.701060956429245
gene-SynWH7803_1081	0.0	0.0	0.0	0.0	0.0	host	umuD	None	None	1.9488164000798893
gene-SynWH7803_1613	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1613	None	None	13.505648234746205
gene-SynWH7803_1849	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1849	None	None	9.407640080187134
gene-SynWH7803_1540	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1540	None	None	2.216405680880095
gene-SynWH7803_1133	0.0	0.0	0.0	0.0	0.0	host	upp	None	None	30.305841425725447
gene-SynWH7803_2072	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_2072	None	None	27.998043419725747
gene-SynWH7803_2524	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_2524	None	None	9.783409356251513
gene-SynWH7803_0931	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0931_gene_hli	None	None	62.72991746580673
gene-SynWH7803_1029	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1029	None	None	44.72400604006861
gene-SynWH7803_0363	0.0	0.0	0.0	0.0	0.0	host	proW	None	None	3.2595331469948254
gene-SynWH7803_1937	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1937	None	None	357.31817440081824
gene-SynWH7803_1794	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1794	None	None	3.9211773648163284
gene-SynWH7803_1079	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1079	None	None	9.46738885368283
gene-SynWH7803_1912	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1912	None	None	21.577943603187887
gene-SSBP1_gp12	0.0	0.0	0.0	0.0	0.0	phage	gene-SSBP1_gp12	early	middle	10358.165909877986
gene-SynWH7803_0787	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0787	None	None	15.132897791869455
gene-SynWH7803_0923	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0923	None	None	2.57999424113221
gene-SynWH7803_0797	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0797_gene_hli	None	None	78.67902673740602
gene-SynWH7803_1168	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1168	None	None	29.864275064657843
gene-SynWH7803_1665	0.0	0.0	0.0	0.0	0.0	host	proP	None	None	1.3417163254490367
gene-SynWH7803_1953	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1953	None	None	202.95986840581995
gene-SynWH7803_1823	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1823	None	None	49.883194449202016
gene-SynWH7803_1919	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1919	None	None	11.32712369753545
gene-SynWH7803_1990	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1990	None	None	25.14769768075757
gene-SynWH7803_1145	0.0	0.0	0.0	0.0	0.0	host	cbbA%2C cfxA%2C fbaA%2C fda	None	None	376.31248123181996
gene-SynWH7803_0633	0.0	0.0	0.0	0.0	0.0	host	ftsI	None	None	9.900574383107056
gene-SynWH7803_2272	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_2272	None	None	40.433841901799376
gene-SynWH7803_1102	0.0	0.0	0.0	0.0	0.0	host	acsF	None	None	132.4301237804204
gene-SynWH7803_1634	0.0	0.0	0.0	0.0	0.0	host	trxB	None	None	70.85575017054288
gene-SynWH7803_2313	0.0	0.0	0.0	0.0	0.0	host	mraW	None	None	4.788477593456141
gene-SynWH7803_1109	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1109	None	None	14.741873632458455
gene-SynWH7803_2364	0.0	0.0	0.0	0.0	0.0	host	gspD	None	None	16.226462799469587
