Geneid	30	480	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-SynWH7803_2146	0.0	0.0	host	gene-SynWH7803_2146	None	None	1.7290721630654307
gene-SynWH7803_1258	0.0	0.0	host	gene-SynWH7803_1258	None	None	0.6150043119834774
gene-RNA_36	0.0	0.0	host	ffs	None	None	15.958952265667877
gene-SynWH7803_0468	0.0	0.0	host	gene-SynWH7803_0468	None	None	0.8306506308538604
gene-SynWH7803_1628	0.0	0.0	host	pntAB	None	None	2.5298573411638112
gene-SynWH7803_2180	0.0	0.0	host	gene-SynWH7803_2180	None	None	0.005451777461965595
gene-SynWH7803_0102	0.0	0.0	host	rmlA%2C rfbA	None	None	0.20512452825463853
gene-SynWH7803_1165	0.0	0.0	host	pgsA	None	None	0.43987404942359476
gene-SynWH7803_1277	0.0	0.0	host	metH	None	None	2.4194489161147965
gene-SynWH7803_2452	0.0	0.0	host	gene-SynWH7803_2452	None	None	0.06826215086690958
gene-SynWH7803_0623	0.0	0.0	host	gene-SynWH7803_0623	None	None	4.720356307912629
gene-SynWH7803_1117	0.0	0.0	host	gene-SynWH7803_1117	None	None	0.2601477352066325
gene-SynWH7803_1435	0.0	0.0	host	tpiA%2C tpi%2C cbbJ%2C tim	None	None	0.032717342987936326
gene-SynWH7803_0163	0.0	0.0	host	mutY	None	None	0.1480315996696886
gene-SynWH7803_2030	0.0	0.0	host	ccdA	None	None	0.07133416214145831
gene-SynWH7803_2142	0.0	0.0	host	gene-SynWH7803_2142	None	None	0.07921149224449364
gene-SynWH7803_1882	0.0	0.0	host	gene-SynWH7803_1882	None	None	0.007758435362791871
gene-SynWH7803_0451	0.0	0.0	host	speH	None	None	11.86165842724957
gene-SynWH7803_1676	0.0	0.0	host	gene-SynWH7803_1676	None	None	2.2532765811859665
gene-SynWH7803_1401	0.0	0.0	host	sbcD	None	None	0.16013272003779527
gene-SynWH7803_2034	0.0	0.0	host	gene-SynWH7803_2034	None	None	101.48771718405457
gene-SynWH7803_2218	0.0	0.0	host	rbfA	None	None	3.931267000437792
gene-SynWH7803_2382	0.0	0.0	host	gene-SynWH7803_2382	None	None	0.0771460167747945
gene-SynWH7803_2516	0.0	0.0	host	gene-SynWH7803_2516	None	None	0.10388076544147573
gene-SynWH7803_2108	0.0	0.0	host	gene-SynWH7803_2108	None	None	0.4098731732392267
gene-SynWH7803_1381	0.0	0.0	host	gene-SynWH7803_1381	None	None	0.7410504766627292
gene-SynWH7803_2052	0.0	0.0	host	gene-SynWH7803_2052	None	None	0.03784933195538263
gene-SynWH7803_1100	0.0	0.0	host	pmbA	None	None	0.2777827260235105
gene-SynWH7803_0065	0.0	0.0	host	gene-SynWH7803_0065	None	None	0.10166953024143016
gene-SynWH7803_0155	0.0	0.0	host	gene-SynWH7803_0155	None	None	0.04756369320303797
gene-SynWH7803_0636	0.0	0.0	host	phr	None	None	0.14429484484591706
gene-SynWH7803_1077	0.0	0.0	host	gene-SynWH7803_1077	None	None	1.3739987666595659
gene-SynWH7803_1507	0.0	0.0	host	recC	None	None	0.02253045871640542
gene-SynWH7803_0752	0.0	0.0	host	petJ	None	None	0.6104341898929637
gene-SynWH7803_0758	0.0	0.0	host	gene-SynWH7803_0758	None	None	3.244818480754683
