Geneid	30_R1	480_R1	Entity	Symbol
gene-SynWH7803_1906	272	278	host	gene-SynWH7803_1906
gene-SynWH7803_2376	230	220	host	secE
gene-SynWH7803_0478	128	160	host	gene-SynWH7803_0478
gene-SynWH7803_2493	1317	2325	host	gene-SynWH7803_2493
gene-SynWH7803_1589	1833	1492	host	gyrA
gene-SynWH7803_0450	286	223	host	gene-SynWH7803_0450
gene-SynWH7803_0030	165	180	host	thiL
gene-SynWH7803_2501	5531	5630	host	rpoD
gene-SynWH7803_0978	597	524	host	gene-SynWH7803_0978
gene-SynWH7803_0002	301	233	host	gene-SynWH7803_0002
gene-SynWH7803_1987	299	198	host	gene-SynWH7803_1987
gene-SynWH7803_0161	53	71	host	gene-SynWH7803_0161
gene-SynWH7803_0943	73	64	host	gene-SynWH7803_0943
gene-SynWH7803_1974	177	133	host	nagB
gene-SynWH7803_0705	602	670	host	gene-SynWH7803_0705
gene-SynWH7803_1880	124	106	host	gene-SynWH7803_1880
gene-SynWH7803_1582	63	46	host	gene-SynWH7803_1582
gene-SynWH7803_0931	125	87	host	hli
gene-SynWH7803_0897	55	96	host	gene-SynWH7803_0897
gene-SynWH7803_0315	421	344	host	pth
gene-SynWH7803_1900	237	249	host	gene-SynWH7803_1900
gene-SynWH7803_0763	158	150	host	gene-SynWH7803_0763
gene-SynWH7803_1620	111	120	host	gene-SynWH7803_1620
gene-SynWH7803_0639	439	487	host	pyrH
gene-SynWH7803_1869	300	248	host	ctaB
gene-SynWH7803_1287	334	301	host	gene-SynWH7803_1287
gene-SynWH7803_2101	196	194	host	gene-SynWH7803_2101
gene-SynWH7803_0053	4286	2682	host	gene-SynWH7803_0053
gene-SynWH7803_2141	394	401	host	def
gene-SynWH7803_2408	301	221	host	gene-SynWH7803_2408
gene-SynWH7803_2297	611	499	host	gene-SynWH7803_2297
gene-SynWH7803_1247	277	255	host	dnaJ
gene-SynWH7803_1922	275	243	host	gene-SynWH7803_1922
gene-SynWH7803_0857	106	103	host	gene-SynWH7803_0857
gene-SynWH7803_1700	60	59	host	gene-SynWH7803_1700
gene-RNA_34	322	268	host	gene-RNA_34
gene-SynWH7803_1960	199	251	host	purC
gene-SynWH7803_1041	279	236	host	gene-SynWH7803_1041
gene-SynWH7803_2199	1873	1593	host	tolC
gene-SynWH7803_0038	809	596	host	gene-SynWH7803_0038
gene-SynWH7803_0325	180	148	host	gene-SynWH7803_0325
gene-SynWH7803_0178	319	349	host	gene-SynWH7803_0178
gene-SynWH7803_0397	1865	1388	host	psaI
gene-SynWH7803_2194	242	240	host	xseB
gene-SynWH7803_1950	48	54	host	gene-SynWH7803_1950
gene-SynWH7803_1603	155	184	host	gene-SynWH7803_1603
gene-SynWH7803_0914	89	112	host	gene-SynWH7803_0914
gene-SynWH7803_0321	438	238	host	cobA
gene-SynWH7803_1834	1418	1116	host	rplS
gene-SynWH7803_0599	310	251	host	gene-SynWH7803_0599
gene-SynWH7803_1099	464	421	host	fmt
gene-SynWH7803_2506	211	251	host	eriC
gene-SynWH7803_0008	1009	793	host	gene-SynWH7803_0008
gene-SynWH7803_0337	341	353	host	crtR
gene-RNA_5	125	66	host	gene-RNA_5
gene-SynWH7803_0906	68	46	host	gene-SynWH7803_0906
gene-SynWH7803_1778	186	175	host	rsmB
gene-SynWH7803_0398	142	115	host	gene-SynWH7803_0398
gene-SynWH7803_0920	84	120	host	gene-SynWH7803_0920
gene-SynWH7803_1631	255	334	host	gene-SynWH7803_1631
gene-SynWH7803_2036	1716	833	host	gene-SynWH7803_2036
gene-SynWH7803_2466	1492	1178	host	gene-SynWH7803_2466
gene-RNA_32	76	67	host	gene-RNA_32
gene-SynWH7803_2264	386	344	host	gene-SynWH7803_2264
gene-SynWH7803_0464	252	602	host	pex
gene-SynWH7803_2312	8034	4110	host	gene-SynWH7803_2312
gene-SynWH7803_2353	1266	1341	host	hupE
gene-SynWH7803_1179	93	127	host	gene-SynWH7803_1179
gene-SynWH7803_0357	400	685	host	gene-SynWH7803_0357
gene-SSBP1_gp20	5	120	phage	gene-SSBP1_gp20
gene-SynWH7803_1925	211	185	host	gene-SynWH7803_1925
gene-SynWH7803_2151	468	552	host	ftrC
gene-SynWH7803_0036	149	166	host	wcaG
gene-SynWH7803_0191	1419	1203	host	gene-SynWH7803_0191
gene-SynWH7803_0747	142	140	host	gene-SynWH7803_0747
gene-SynWH7803_1919	179	118	host	gene-SynWH7803_1919
gene-SynWH7803_2202	153	111	host	gene-SynWH7803_2202
gene-SynWH7803_1768	323	208	host	gene-SynWH7803_1768
gene-SynWH7803_0111	575	628	host	gene-SynWH7803_0111
gene-SynWH7803_1748	124	142	host	folC
gene-SynWH7803_0196	1703	1298	host	fabF
gene-SynWH7803_0975	84	60	host	gene-SynWH7803_0975
gene-SynWH7803_2088	409	399	host	gene-SynWH7803_2088
gene-SynWH7803_1764	701	722	host	clpP
gene-SynWH7803_1250	210	271	host	gene-SynWH7803_1250
gene-SynWH7803_0400	197	177	host	gene-SynWH7803_0400
gene-SynWH7803_1762	436	431	host	gene-SynWH7803_1762
gene-SynWH7803_2503	445	418	host	gene-SynWH7803_2503
gene-SynWH7803_0785	968	783	host	gene-SynWH7803_0785
gene-SynWH7803_0869	450	467	host	pdc
gene-SSBP1_gp31	3	89	phage	gene-SSBP1_gp31
gene-SynWH7803_2453	84	110	host	speE
gene-SynWH7803_0812	193	168	host	gene-SynWH7803_0812
gene-SynWH7803_1943	155	115	host	gene-SynWH7803_1943
gene-SynWH7803_0762	585	517	host	gene-SynWH7803_0762
gene-SynWH7803_1693	133	119	host	gene-SynWH7803_1693
gene-SynWH7803_0573	1022	549	host	proC
gene-SynWH7803_2000	2056	1638	host	atpB
gene-SynWH7803_1867	555	398	host	gene-SynWH7803_1867
gene-SynWH7803_1701	214	123	host	gene-SynWH7803_1701
gene-SynWH7803_0592	230	249	host	gene-SynWH7803_0592
gene-SynWH7803_2103	153	150	host	gene-SynWH7803_2103
gene-SynWH7803_2281	522	362	host	gene-SynWH7803_2281
gene-SynWH7803_0531	232	199	host	gene-SynWH7803_0531
gene-SynWH7803_0898	87	124	host	gene-SynWH7803_0898
gene-SynWH7803_1884	511	446	host	ndhB
gene-SynWH7803_1368	116	137	host	gene-SynWH7803_1368
gene-SynWH7803_1415	382	260	host	gene-SynWH7803_1415
gene-SynWH7803_0495	860	603	host	gene-SynWH7803_0495
gene-SynWH7803_2333	166	227	host	gene-SynWH7803_2333
gene-SynWH7803_0584	791	875	host	queA
gene-SynWH7803_0177	261	318	host	lysS
gene-SynWH7803_1429	886	948	host	carB
gene-SynWH7803_0444	156	176	host	gene-SynWH7803_0444
gene-SynWH7803_0081	218	169	host	lysC
gene-SynWH7803_2146	145	174	host	gene-SynWH7803_2146
gene-SynWH7803_1258	715	553	host	gene-SynWH7803_1258
gene-RNA_36	177	212	host	ffs
gene-SynWH7803_0468	153	159	host	gene-SynWH7803_0468
gene-SynWH7803_1628	204	219	host	pntAB
gene-SynWH7803_2180	218	183	host	gene-SynWH7803_2180
gene-SynWH7803_0102	162	158	host	rmlA%2C rfbA
gene-SynWH7803_1165	78	82	host	pgsA
gene-SynWH7803_1277	1977	2159	host	metH
gene-SynWH7803_2452	236	192	host	gene-SynWH7803_2452
gene-SynWH7803_0623	970	686	host	gene-SynWH7803_0623
gene-SynWH7803_1117	1092	1031	host	gene-SynWH7803_1117
gene-SynWH7803_1435	402	355	host	tpiA%2C tpi%2C cbbJ%2C tim
gene-SynWH7803_0163	110	109	host	mutY
gene-SynWH7803_2030	450	403	host	ccdA
gene-SynWH7803_2142	160	154	host	gene-SynWH7803_2142
gene-SynWH7803_1882	170	143	host	gene-SynWH7803_1882
gene-SynWH7803_0451	649	390	host	speH
gene-SynWH7803_1676	764	734	host	gene-SynWH7803_1676
gene-SynWH7803_1401	205	156	host	sbcD
gene-SynWH7803_2034	1808	951	host	gene-SynWH7803_2034
gene-SynWH7803_2218	174	211	host	rbfA
gene-SynWH7803_2382	119	110	host	gene-SynWH7803_2382
gene-SynWH7803_2516	184	148	host	gene-SynWH7803_2516
gene-SynWH7803_2108	54	54	host	gene-SynWH7803_2108
gene-SynWH7803_1381	144	158	host	gene-SynWH7803_1381
gene-SynWH7803_2052	280	252	host	gene-SynWH7803_2052
gene-SynWH7803_1100	1260	1154	host	pmbA
gene-SynWH7803_0065	143	111	host	gene-SynWH7803_0065
gene-SynWH7803_0155	252	205	host	gene-SynWH7803_0155
gene-SynWH7803_0636	303	287	host	phr
gene-SynWH7803_1077	105	113	host	gene-SynWH7803_1077
gene-SynWH7803_1507	335	304	host	recC
gene-SynWH7803_0752	309	293	host	petJ
gene-SynWH7803_0758	553	669	host	gene-SynWH7803_0758
gene-SynWH7803_0221	2932	2349	host	ho1
gene-SynWH7803_1865	568	437	host	nanE
gene-SynWH7803_0028	1021	727	host	murC
gene-SynWH7803_2260	1160	736	host	devC
gene-SynWH7803_1694	142	114	host	gene-SynWH7803_1694
gene-SynWH7803_0395	546	550	host	gene-SynWH7803_0395
gene-SynWH7803_0570	79	99	host	gene-SynWH7803_0570
gene-SynWH7803_0602	253	248	host	mqoA
gene-SynWH7803_1370	247	275	host	gene-SynWH7803_1370
gene-SynWH7803_1599	356	297	host	gene-SynWH7803_1599
gene-SynWH7803_1606	377	352	host	thrA
gene-SynWH7803_1970	151	176	host	gene-SynWH7803_1970
gene-SynWH7803_1558	789	535	host	sasA
gene-SynWH7803_0417	349	640	host	rplO
gene-SynWH7803_1411	170	193	host	alkB
gene-SynWH7803_1032	133	179	host	aroA
gene-SynWH7803_2153	363	417	host	gene-SynWH7803_2153
gene-SynWH7803_0011	318	387	host	ftsY
gene-SynWH7803_0529	614	459	host	minD
gene-SynWH7803_1735	570	609	host	gene-SynWH7803_1735
gene-SynWH7803_0349	250	212	host	gene-SynWH7803_0349
gene-SynWH7803_1216	2825	2677	host	ftsH
gene-SynWH7803_0049	2371	1416	host	gene-SynWH7803_0049
gene-SynWH7803_2520	112	109	host	gene-SynWH7803_2520
gene-SynWH7803_2111	133	99	host	gene-SynWH7803_2111
gene-SynWH7803_0837	340	319	host	gene-SynWH7803_0837
gene-SynWH7803_1710	204	191	host	ppnK
gene-SynWH7803_1294	90	90	host	gene-SynWH7803_1294
gene-SynWH7803_0342	5706	4555	host	gene-SynWH7803_0342
gene-SynWH7803_1467	136	128	host	gene-SynWH7803_1467
gene-SynWH7803_1828	893	878	host	gene-SynWH7803_1828
gene-SynWH7803_2328	727	512	host	dgkA
gene-SynWH7803_1057	487	457	host	gene-SynWH7803_1057
