Geneid	5	10	20	40	50	65	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-HB27c_C0560	999	495	354	625	181	101	host	gene-HB27c_C0560	None	None	1.7301793821690539
gene-HB27c_P0226	209	103	130	224	66	48	host	gene-HB27c_P0226	None	None	12.238640101114349
gene-HB27c_C0582	573	314	209	370	93	57	host	gene-HB27c_C0582	None	None	1.6094305566945122
gene-HB27c_C0804	21	17	13	21	3	8	host	gene-HB27c_C0804	None	None	10.471927899351085
gene-HB27c_C1627	217	476	87	9597	40	24	host	gene-HB27c_C1627	None	None	3512.8227850563967
gene-HB27c_C1964	110	335	106	8	2	1	host	gene-HB27c_C1964	None	None	554.5900009846204
gene-HB27c_C1607	4	9	2	3	3	1	host	gene-HB27c_C1607	None	None	3.4319313623620316
gene-HB27c_C1652	1730	1055	489	4954	374	127	host	gene-HB27c_C1652	None	None	137.77912576043894
gene-HB27c_C0065	136	74	44	108	19	23	host	gene-HB27c_C0065	None	None	18.500541306255446
gene-HB27c_C1890	113	23	773	50	13	7	host	gene-HB27c_C1890	None	None	777.4240822512339
gene-HB27c_C0523	212	120	99	175	51	36	host	gene-HB27c_C0523	None	None	11.685261841703031
gene-HB27c_C1429	1658	339	430	682	88	52	host	gene-HB27c_C1429	None	None	18.50726717506233
gene-HB27c_C0539	127	68	94	86	37	30	host	gene-HB27c_C0539	None	None	21.385866921900835
gene-HB27c_P0187	16	7	7	23	6	1	host	gene-HB27c_P0187	None	None	2.792978871274387
gene-HB27c_C1708	2928	2253	843	1129	438	1231	host	gene-HB27c_C1708	None	None	728.2394070888805
gene-HB27c_C1008	873	294	247	497	66	45	host	gene-HB27c_C1008	None	None	3.0593487688931518
gene-HB27c_C0379	461	212	206	318	76	52	host	gene-HB27c_C0379	None	None	2.7208671618809968
gene-HB27c_P0120	6	4	1	7	1	0	host	gene-HB27c_P0120	None	None	0.1837221627657692
gene-HB27c_C1902	58	31	19	29	21	7	host	gene-HB27c_C1902	None	None	5.290128244794137
gene-HB27c_C1548	1207	812	366	274	258	73	host	gene-HB27c_C1548	None	None	34.60729697259746
gene-HB27c_C1144	181	105	91	136	42	18	host	mltF	None	None	0.9276042723678536
gene-HB27c_C0252	119	35	35	77	23	13	host	gene-HB27c_C0252	None	None	4.349285457776879
gene-HB27c_C1923	345	176	156	279	75	37	host	gene-HB27c_C1923	None	None	3.6752638026213917
gene-HB27c_C1083	63	120	56	40	9	4	host	gene-HB27c_C1083	None	None	7.171497208942705
gene-HB27c_C1638	129	54	46	69	23	15	host	gene-HB27c_C1638	None	None	1.3035764725518397
gene-HB27c_C1912	2953	2586	1011	4213	254	116	host	gene-HB27c_C1912	None	None	196.99339792812663
gene-HB27c_C0716	297	99	109	176	54	41	host	gene-HB27c_C0716	None	None	5.21477541603839
gene-Lalka27a_22	192	120	771	17049	3363	1101	phage	gene-Lalka27a_22	middle	middle	1288.0126665403375
gene-HB27c_C1892	33	12	3	8	1	1	host	gene-HB27c_C1892	None	None	1.1481897180491778
gene-HB27c_C1705	9760	837	375	769	216	34	host	gene-HB27c_C1705	None	None	604.3729134939107
gene-HB27c_C0412	176	83	80	121	23	16	host	gene-HB27c_C0412	None	None	0.8405937649041713
gene-HB27c_C0217	61	37	28	46	16	6	host	gene-HB27c_C0217	None	None	0.8097889052874999
gene-HB27c_C0670	54	23	23	35	16	8	host	gene-HB27c_C0670	None	None	2.5726736075823946
gene-HB27c_P0166	242	132	74	176	35	8	host	gene-HB27c_P0166	None	None	1.013067499231785
gene-HB27c_C0182	3469	1987	1621	2569	824	528	host	gene-HB27c_C0182	None	None	73.1990681100434
gene-HB27c_C0429	195	113	83	142	27	30	host	gene-HB27c_C0429	None	None	3.3572675891266175
gene-HB27c_C1557	1064	116	203	348	175	47	host	gene-HB27c_C1557	None	None	39.96288396677858
gene-HB27c_C1113	661	718	226	675	96	71	host	gene-HB27c_C1113	None	None	37.94102142262065
gene-HB27c_C1432	216	28	27	57	13	2	host	gene-HB27c_C1432	None	None	5.748068010660752
gene-HB27c_C0933	113	85	40	85	19	15	host	gene-HB27c_C0933	None	None	1.662129969621567
gene-HB27c_C1624	1892	502	384	1629	199	96	host	gene-HB27c_C1624	None	None	43.043457089358036
gene-HB27c_C0541	123	44	58	115	22	18	host	gene-HB27c_C0541	None	None	7.480968996114118
gene-HB27c_C0800	2154	1450	1022	1252	407	160	host	gene-HB27c_C0800	None	None	47.39559274178691
gene-HB27c_C1371	9591	390	3260	416	91	70	host	gene-HB27c_C1371	None	None	619.1083117894324
gene-HB27c_C2024	486	276	73	170	33	24	host	gene-HB27c_C2024	None	None	15.73842745300799
gene-HB27c_C0918	320	248	134	391	65	1199	host	gene-HB27c_C0918	None	None	1813.8239511537754
gene-HB27c_C1547	565	192	5019	339	36	27	host	gene-HB27c_C1547	None	None	2967.5865765312756
gene-HB27c_C1394	8067	1084	600	1261	2051	238	host	gene-HB27c_C1394	None	None	301.7554299080133
gene-HB27c_C1136	10149	2277	9066	1817	354	91	host	gene-HB27c_C1136	None	None	3683.249122012958
gene-HB27c_C1464	7802	495	946	5781	265	49	host	gene-HB27c_C1464	None	None	5343.151793710318
gene-HB27c_P0195	466	310	234	315	103	57	host	gene-HB27c_P0195	None	None	22.899663350848158
gene-HB27c_C0353	23	8	9	27	3	2	host	gene-HB27c_C0353	None	None	0.46726234234704117
gene-HB27c_C0063	99	52	51	90	23	7	host	gene-HB27c_C0063	None	None	1.160838842049209
gene-HB27c_C0102	1174	624	352	482	68	35	host	gene-HB27c_C0102	None	None	14.634646522005276
gene-HB27c_C0587	102	70	59	75	17	15	host	gene-HB27c_C0587	None	None	3.325940466305205
gene-HB27c_C1146	1254	278	167	127	36	35	host	gene-HB27c_C1146	None	None	63.54795517182825
gene-HB27c_C2014	296	413	885	185	38	32	host	gene-HB27c_C2014	None	None	156.36247314328057
gene-HB27c_C1077	272	99	136	165	31	21	host	gene-HB27c_C1077	None	None	4.081873564075252
gene-HB27c_C1225	1539	1401	542	840	552	92	host	gene-HB27c_C1225	None	None	49.146149213883625
gene-HB27c_C1669	2583	914	883	2707	548	462	host	gene-HB27c_C1669	None	None	93.27983678679847
gene-HB27c_C0363	23	9	6	9	2	0	host	gene-HB27c_C0363	None	None	0.14470646172342805
gene-HB27c_C0754	112	62	69	91	26	13	host	gene-HB27c_C0754	None	None	3.086538161387125
gene-HB27c_C0490	128	80	54	89	25	23	host	gene-HB27c_C0490	None	None	2.223569718747242
gene-HB27c_C0549	150	56	62	111	35	16	host	gene-HB27c_C0549	None	None	2.93473963258895
gene-HB27c_C0238	1235	767	387	518	214	130	host	gene-HB27c_C0238	None	None	21.856501455088807
gene-Lalka27a_1	19	23	71	2184	1397	825	phage	gene-Lalka27a_1	middle	late	2232.660325396672
gene-HB27c_C0368	816	445	453	745	192	103	host	gene-HB27c_C0368	None	None	5.571653039216148
gene-HB27c_C1687	2401	1386	569	1122	122	68	host	gene-HB27c_C1687	None	None	39.05093337958696
gene-HB27c_C0662	245	132	118	268	92	77	host	gabD	None	None	18.720752914344825
gene-HB27c_P0109	122	55	62	77	30	24	host	gene-HB27c_P0109	None	None	11.849657458977884
gene-HB27c_P0251	53	17	21	188	37	14	host	gene-HB27c_P0251	None	None	14.34334118887249
gene-HB27c_C1252	2890	571	381	355	61	47	host	gene-HB27c_C1252	None	None	87.5660095564174
gene-Lalka27a_17	24	24	114	2766	828	443	phage	gene-Lalka27a_17	middle	late	202.11983524976006
gene-HB27c_C0315	275	177	125	449	40	32	host	gene-HB27c_C0315	None	None	12.961333371763946
gene-HB27c_C0832	1423	800	600	675	299	217	host	gene-HB27c_C0832	None	None	13.619807647555811
gene-HB27c_C1608	699	610	289	2004	102	69	host	gene-HB27c_C1608	None	None	76.46940859220774
gene-HB27c_C1086	97	36	86	35	30	51	host	gene-HB27c_C1086	None	None	59.984999721028565
gene-Lalka27a_55	149	85	540	24615	2404	423	phage	gene-Lalka27a_55	middle	middle	20242.928476635938
gene-HB27c_C0669	51	30	19	35	10	5	host	gene-HB27c_C0669	None	None	0.5285193229574955
gene-HB27c_C0545	241	120	159	202	59	52	host	gene-HB27c_C0545	None	None	14.838005060037414
gene-HB27c_C1248	264	233	148	174	29	202	host	gene-HB27c_C1248	None	None	339.13573760853484
gene-HB27c_C0228	33	13	7	21	3	2	host	gene-HB27c_C0228	None	None	0.18560803939946519
gene-HB27c_P0116	41	20	11	22	8	0	host	gene-HB27c_P0116	None	None	0.9181017478927882
gene-HB27c_C0064	612	271	241	382	115	81	host	gene-HB27c_C0064	None	None	6.258240366517361
