Geneid	5	10	20	40	50	65	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-HB27c_P0041	0.819579902788235	0.6293260804816262	1.0	0.8109631498525263	0.529909264316504	0.5276694894496381	host	gene-HB27c_P0041	None	None	2.744572924056405
gene-HB27c_C1412	0.5469802089921795	0.7859533413356032	1.0	0.9640724762645523	0.816087827660558	0.8315507710762062	host	gene-HB27c_C1412	None	None	5.4839558121604295
gene-HB27c_C1374	0.6888938364778097	0.5901357727239473	0.861797272431212	0.932417920818179	0.8767215240907443	1.0	host	gene-HB27c_C1374	None	None	5.1215820616558
gene-HB27c_C0056	0.8445062191206398	0.6599743257090299	0.9821159699038177	0.9434524524254949	0.6069610551397462	1.0	host	gene-HB27c_C0056	None	None	0.4176152211623841
gene-HB27c_C0824	0.3625611479816975	0.3679897371650146	0.6768206341457611	0.45843434289795465	0.5708016731314209	1.0	host	gene-HB27c_C0824	None	None	5.109440156130642
gene-HB27c_C0077	0.20890737578110868	0.42240107754940553	0.6711958881890608	0.2984953947779259	1.0	0.5002688757789338	host	gene-HB27c_C0077	None	None	1.8288843823306573
gene-HB27c_C0454	0.39760148333425727	0.4876307997942295	0.7329624378997873	0.5596008298170402	0.6617833439910781	1.0	host	gene-HB27c_C0454	None	None	5.876492961216894
gene-HB27c_C0231	0.45943766324536045	0.31980650842924635	0.3629806985462663	0.5313087963694237	1.0	0.7827736526893906	host	gene-HB27c_C0231	None	None	1.2837920925702968
gene-HB27c_C1792	0.8988172536890894	1.0	0.7164613132965431	0.9450010922019491	0.7245926661540661	0.37044735917755667	host	gene-HB27c_C1792	None	None	513.584859688836
gene-HB27c_C1966	1.0	0.867952713451027	0.44414208234179636	0.39918901998114314	0.43564597947392464	0.6841424774299203	host	gene-HB27c_C1966	None	None	8.649742704630997
gene-HB27c_C0173	0.6545596492291416	0.6992476083279429	0.8958047021443994	0.6890501169172683	1.0	0.7994951192354923	host	gene-HB27c_C0173	None	None	2.256438263464873
gene-HB27c_P0231	0.25711667978119174	0.7387740944784309	1.0	0.42180530982667636	0.7398250115336699	0.20091763168767512	host	gene-HB27c_P0231	None	None	2.300502538867695
gene-HB27c_C0074	1.0	0.6390975399498383	0.7040117478852116	0.6794972981376468	0.8107980214766206	0.7212059180227334	host	gene-HB27c_C0074	None	None	10.758541255791318
gene-Lalka27a_3	0.003918056486241943	0.010185595054472562	0.09051568847932738	0.6963291727305035	0.7824921746870855	1.0	phage	gene-Lalka27a_3	middle	late	202.95779031159046
gene-HB27c_C0165	0.5639184436832276	0.504686249071611	0.6067642366404775	0.3748144436504041	0.505404172711135	1.0	host	gene-HB27c_C0165	None	None	7.9018608360435625
gene-HB27c_C1009	0.20755973704953778	1.0	0.5520938735108003	0.3809222600305768	0.37038914929556443	0.8138504679794905	host	gene-HB27c_C1009	None	None	13.34605820766887
gene-HB27c_P0193	0.5157836149491806	0.09480824344118606	0.45195128431017284	1.0	0.3662091369014715	0.6961715262271567	host	gene-HB27c_P0193	None	None	1.1210537038141333
gene-HB27c_C0042	0.5415201841870507	0.648241448807536	0.5280121790737135	0.4994348297704691	0.48395028129809087	1.0	host	gene-HB27c_C0042	None	None	4.330386441112012
gene-HB27c_C1333	0.06004826241925955	0.09850212238759704	0.054433981835499384	0.05021207179127673	1.0	0.12783443289969285	host	gene-HB27c_C1333	None	None	1280.364601349772
gene-HB27c_C0717	0.4313767379154435	0.4526731456095908	1.0	0.8151786827952295	0.7249914273425185	0.8917922950347684	host	gene-HB27c_C0717	None	None	1.0369118364147822
gene-HB27c_C1443	0.4168110785145387	0.5012570096656983	0.5514217420468812	0.6390953409075057	1.0	0.6067090621148772	host	gene-HB27c_C1443	None	None	1.0710090133234058
gene-HB27c_P0172	0.39760148333425727	0.4349139565732316	0.5514669770865066	0.7663323465647364	0.9672218104484986	1.0	host	gene-HB27c_P0172	None	None	0.5603963901195685
gene-HB27c_C0696	0.49454407849192594	0.4461757499685092	0.450730439975523	0.5402628273931271	0.8747840179601571	1.0	host	gene-HB27c_C0696	None	None	16.996792252036588
gene-HB27c_C0335	0.4329852218979616	0.21400528021857432	0.7110234261531269	0.4577626442270418	0.6763280328700028	1.0	host	gene-HB27c_C0335	None	None	1.5158844878807765
gene-HB27c_C1555	1.0	0.2481548024373192	0.27515391650551724	0.3830347138729798	0.26452614789184353	0.36902624056234473	host	paaX	None	None	115.3946052800861
gene-HB27c_C0631	0.3841200135330063	0.37395364213155263	0.3199607639037459	0.3812060528645392	1.0	0.7744903336133124	host	gene-HB27c_C0631	None	None	4.274386761993071
gene-HB27c_C1299	1.0	0.6130475889161028	0.5233776144821012	0.5280866473070706	0.7000442668345607	0.9373456374320838	host	gene-HB27c_C1299	None	None	10.541509270226452
gene-HB27c_C0414	0.3094761598709117	0.3137548853166455	0.41713970797559363	0.2767830805483411	0.5236291082954774	1.0	host	gene-HB27c_C0414	None	None	213.78603246788322
gene-HB27c_C1258	1.0	0.45354230153002645	0.4020346622626034	0.3963698106162211	0.4663951719784834	0.742511248452195	host	gene-HB27c_C1258	None	None	25.612118483775948
gene-HB27c_P0244	0.05933561184656195	0.05682972797871626	0.07023528963740763	0.7941002146531092	1.0	0.41729745247901306	host	gene-HB27c_P0244	None	None	8.345560830674254
gene-HB27c_C1007	1.0	0.33103838438244604	0.42157321928410957	0.19516209646441224	0.19686132431057576	0.24832592054734198	host	gene-HB27c_C1007	None	None	70.15438724326918
