Geneid	40	90	140	190	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-FLV31_RS12855	143	35	12	4	host	gene-FLV31_RS12855	None	None	1.891634454726307
gene-FLV31_RS01315	18789	3674	1064	599	host	gene-FLV31_RS01315	None	None	71.54554830403224
gene-FLV31_RS13715	591	101	24	15	host	gene-FLV31_RS13715	None	None	6.337554469075838
gene-FLV31_RS11560	32388	9585	2222	1230	host	rpmA	None	None	1106.4871336371361
gene-FLV31_RS04345	658	157	59	37	host	gene-FLV31_RS04345	None	None	11.900265223650514
gene-FLV31_RS19345	107	24	50	14	host	gene-FLV31_RS19345	None	None	0.7912202417567438
gene-FLV31_RS06995	2583	552	126	75	host	gene-FLV31_RS06995	None	None	12.673576628958678
gene-FLV31_RS09050	340	87	31	22	host	xerD	None	None	2.882807369190895
gene-FLV31_RS11140	1030	199	54	26	host	gene-FLV31_RS11140	None	None	17.439529100420607
gene-FLV31_RS17270	3130	629	175	91	host	gene-FLV31_RS17270	None	None	21.117252028156386
gene-FLV31_RS05350	21	8	10	3	host	gene-FLV31_RS05350	None	None	0.051369339883916676
gene-FLV31_RS13740	16	11	21	10	host	gene-FLV31_RS13740	None	None	0.05962109011414803
gene-FLV31_RS05750	326	100	25	16	host	gene-FLV31_RS05750	None	None	4.8162195794108476
gene-FLV31_RS18890	621	145	63	31	host	gene-FLV31_RS18890	None	None	6.314426643157001
gene-FLV31_RS02505	2743	1608	504	169	host	gene-FLV31_RS02505	None	None	80.83619269495414
gene-FLV31_RS08195	227	53	22	15	host	gene-FLV31_RS08195	None	None	1.5692733630015265
gene-FLV31_RS17640	1603	332	196	65	host	gene-FLV31_RS17640	None	None	4.9052761420881525
gene-FLV31_RS08480	1190	230	102	28	host	gene-FLV31_RS08480	None	None	7.196232688631779
gene-FLV31_RS10695	1434	290	67	34	host	surE	None	None	20.60594038645041
gene-FLV31_RS12430	537	120	29	15	host	gene-FLV31_RS12430	None	None	10.550436595659678
gene-FLV31_RS02665	541	99	26	31	host	gene-FLV31_RS02665	None	None	9.191641706657164
gene-FLV31_RS19295	224	90	18	18	host	gene-FLV31_RS19295	None	None	3.0189416687908746
gene-FLV31_RS13895	419	85	17	11	host	gene-FLV31_RS13895	None	None	8.329062336643775
gene-FLV31_RS00340	1431	263	112	59	host	mraY	None	None	11.409129412161523
gene-FLV31_RS01900	223	122	41	12	host	gene-FLV31_RS01900	None	None	2.2025152826641405
gene-FLV31_RS08680	7959	1482	377	182	host	gene-FLV31_RS08680	None	None	77.86337925098405
gene-FLV31_RS18780	155	66	36	17	host	gene-FLV31_RS18780	None	None	0.22791858269400359
gene-FLV31_RS02470	3123	1154	221	154	host	gene-FLV31_RS02470	None	None	18.82450449108715
gene-FLV31_RS11890	1672	2274	471	234	host	gene-FLV31_RS11890	None	None	29.25572615763375
gene-FLV31_RS11360	788	264	143	72	host	gene-FLV31_RS11360	None	None	5.883339697884241
gene-FLV31_RS13595	17784	5838	1169	580	host	gene-FLV31_RS13595	None	None	314.4358386550057
gene-FLV31_RS04795	633	147	47	29	host	gene-FLV31_RS04795	None	None	7.585427697519213
gene-FLV31_RS12260	2584	950	415	175	host	gene-FLV31_RS12260	None	None	18.901630211347797
