Geneid	15_R1	15_R2	15_R3	35_R1	35_R2	35_R3	45_R1	45_R2	45_R3	Entity	Symbol
gene-SAM1_00101	1152646	840117	992176	2226093	2097892	1982108	2725337	2876174	2547520	phage	gene-SAM1_00101
gene-LUU82_02570	8977	11737	10418	9904	12229	11087	10921	12772	10622	host	gene-LUU82_02570
gene-LUU82_02110	843	1359	1037	896	989	1031	984	993	926	host	gene-LUU82_02110
gene-LUU82_07545	5476	7021	6539	7700	8959	7269	6248	9801	6992	host	cysS
gene-LUU82_01340	118	213	182	192	246	264	223	272	237	host	gene-LUU82_01340
gene-LUU82_09475	150	226	276	185	193	246	161	291	208	host	cap8G
gene-LUU82_14025	809	1230	1012	988	1099	1170	1095	1219	1086	host	gene-LUU82_14025
gene-LUU82_11500	2021	2776	3076	2185	2426	2725	2613	3276	2985	host	fetB
gene-LUU82_04370	1951	2736	2456	2198	2733	2517	2143	2627	2176	host	gene-LUU82_04370
gene-LUU82_05435	8767	13513	11312	11679	14310	14554	12209	14836	12719	host	fabI
gene-LUU82_06310	8003	12126	10411	13821	17558	18030	14970	19932	16580	host	trxB
gene-LUU82_01635	857	1378	1139	1243	1461	1312	1355	1535	1311	host	gene-LUU82_01635
gene-LUU82_06935	20	67	55	22	41	53	56	35	55	host	gene-LUU82_06935
gene-LUU82_12600	92939	112619	102541	87569	124488	88161	89088	140704	93722	host	rpsQ
gene-LUU82_06365	2935	4400	3940	3743	5127	5203	4171	5654	4751	host	prfB
gene-LUU82_00685	2402	3848	3952	7646	7156	6455	23757	26583	23130	host	gene-LUU82_00685
gene-LUU82_00575	1136	1239	1270	1688	1620	1857	2122	2179	2245	host	gene-LUU82_00575
gene-LUU82_07105	2682	4454	3465	3685	5004	5395	4376	5522	4704	host	gene-LUU82_07105
gene-LUU82_10295	332	445	491	384	553	454	392	650	495	host	gene-LUU82_10295
gene-LUU82_13930	246	329	421	407	342	345	389	348	386	host	gene-LUU82_13930
