Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-b2103	7.513957387704136	6.790060879986365	8.341976594328633	4.516620910853789	4.656537364319828	2.234654719425511	2.3651170521765583	1.8968682765455378	1.8233714151764702	0.9374624541849115	2.573737478327183	0.47801671674872975	host	thiD	None	None	1.7494819085324975
gene-b0818	14.516500396430224	9.9927284566451	16.821210123632028	4.649761997251599	8.681054352202057	3.015789360008825	4.692008160422879	2.086909303949209	2.0414690478434845	1.3464337941391074	4.660003152290552	0.9304699601451569	host	ybiR	None	None	4.155562832493606
gene-b1808	11.277214518630045	13.63184506464364	17.071432570589792	5.649829016979811	5.083254746265882	1.815872707202372	3.3139220270438887	1.3643144174016544	0.8818503221569572	0.7579930126595842	2.347950184540977	0.46048061642348515	host	yoaA	None	None	5.462821585343611
gene-b4475	8.590750595990599	7.333954018519058	11.12215295713282	7.075707906641597	4.957222068191108	4.078594233748401	3.4594695693657114	13.899372348769461	1.4361066898292552	1.9292511653494226	2.2655856719683847	0.8388484628801262	host	rtcA	None	None	2.767818045545265
gene-b3949	1.4980784218316936	2.354621969213765	1.7388205025324446	3.349827175549894	0.6451777502029212	3.416389794051487	0.9522411750548954	2.928644065749539	0.2427265794134489	1.7539116098484266	0.11228560567211732	1.1879833578964412	host	frwC	None	None	0.7049125974796899
gene-b0430	1150.6996127575894	831.4802450706708	890.7100627084745	446.5546322346924	411.94367938064056	77.27963616302297	182.0968720995862	32.29025347679027	85.18941773922607	17.983966987739066	268.3680749029785	11.91654561735171	host	cyoC	None	None	381.196456453326
gene-b3827	38.326838344142054	20.454792570834986	29.163659219218584	10.750900738055904	13.343793939491006	5.043705087932156	12.208734223335394	3.8822324699618185	4.868401678521176	1.7924886938502078	11.453131778555965	0.9031161443275564	host	bioP	None	None	9.525977899749154
gene-b0716	3.7172657789179655	2.57784418006535	2.672999590018342	1.8712331322002274	0.42454368408168297	1.487699285413698	0.7645112020958125	1.263682311912204	0.38789235451059634	0.6432048298286743	0.11418875153096675	0.48704260479914435	host	ybgO	None	None	0.8562352506888711
gene-b3612	217.6920295901633	221.32112075340922	133.16640413072588	123.84970223116069	57.701219692619915	15.660494986817003	31.70568981429585	6.141622506814567	11.610477490722642	3.916414551944214	30.062018077808805	2.004348275062201	host	gpmM	None	None	86.83077704173786
gene-b3696	10.933920317149676	12.797093379249226	5.783143053978566	5.678914679239515	2.433063554351065	3.91593138065977	0.24715704615700237	2.7265522527372483	0.7410048216927206	1.6148546791443315	0.18457907781717914	0.7872743474835484	host	yidX	None	None	3.9884483408256868
gene-b2314	99.27175960199453	76.25286413539912	81.87808044546125	40.70773346720119	42.59512620716865	10.777547592152729	26.859596278519124	4.378290058458904	8.303225974505311	2.199417458925085	27.253393159513	1.8743856254507825	host	dedD	None	None	29.96701278608755
gene-b4771	20.373866536911034	23.658881030377547	10.513798387405478	9.960362493810326	6.83129382567799	3.6241133649705297	1.0023591316367317	1.6422303172427322	2.080513537829562	1.3457122326202762	2.2457121134423463	0.8707731419136218	host	ychT	None	None	7.961209697156446
gene-b2523	86.74294084392936	196.3750300103527	83.29785415413521	94.71849092798115	849.2192039463157	10.9851031389778	21.54135348783799	4.848416422588589	10.062296783428023	3.308942882265371	28.23930512744558	1.5328630008185717	host	pepB	None	None	448.2661334434168
gene-b4217	144.12817094909445	129.7270818237099	143.67685689277187	91.10654681981381	103.5584542269446	51.58308545560386	44.19096345563678	16.079576845350577	17.910507847402318	7.887043867704922	31.049410959768096	5.549150581387428	host	ytfK	None	None	40.661802501168154
gene-b2053	1.3266405703493502	1.4856837438480017	1.1287953019797738	1.2261926695166443	0.7671506435253357	1.3826179199868005	0.3376931833856369	1.2382592231616323	0.1668861126601253	0.6001732631044441	0.3242472035451516	0.2694141500955056	host	gmd	None	None	0.2629856626563846
gene-b2159	30.095662169497132	27.41215806097091	27.028210055627103	18.20579765062968	12.659390655976694	2.8427933422308485	6.623981674102879	1.3987668016794739	2.2260039950204407	1.055866520978986	3.533463115556139	0.7124507524747815	host	nfo	None	None	10.917039792887026
gene-b4129	16.15793042487876	11.614359778548977	10.61609134830453	8.66408565251061	5.103219498233755	2.946317170230066	1.961137431463171	2.130355692170216	1.5542176231216889	1.2797563761598358	1.8374008200891925	0.7832533117269337	host	lysU	None	None	4.433371828272965
gene-b4468	7.19077642479213	2.322556819099334	12.317941305954347	2.564692528770594	3.2307543449075395	2.035305692147302	1.490687939357191	1.847158202984133	0.8891083494998129	0.8603356837606553	1.0364825138964675	0.35086097293222857	host	glcE	None	None	3.5844988212843414
gene-b4414	4624.885328330827	3670.7151546883374	3724.703373731828	2088.785151614117	2290.794016278459	789.5822510893234	1092.4977506067114	148.01808256442212	451.3184587724098	88.52015906633082	972.822672436341	55.86302402230309	host	tff	None	None	1401.0780972154257
gene-b2260	15.320171896183233	20.844341580366766	24.123047967835376	14.091570132719546	15.083254951386358	2.9815040126451913	7.145135225959182	1.9139976352289187	2.8998308160013804	1.3826300018337527	6.170739922334943	0.8768278224199745	host	menE	None	None	6.4610890815505675
gene-T4p172	2.329406447467873	0.0952067647097688	2.3920884738408996	423.52731288358257	3.656185427827656	549.2044388857332	7.030631655705527	765.1312958065167	3256.912079938091	10122.796161728593	11792.645494410755	16270.20868638201	phage	gene-T4p172_gene_21	late	late	8390.616338685482
gene-b2994	6.950239889455773	4.434255066357482	8.022039560487874	3.279388437083659	4.3056394182970426	2.2605578297647675	1.8741292214757206	1.814548850530878	0.9010674829332258	1.0434008226161438	2.3485087946914676	0.5243035467155962	host	hybC	None	None	1.6530107968641672
gene-b3533	2.3475043311177055	12.381132635435671	4.0187556088258845	4.667264812617796	1.8310684481198736	2.7319818627562604	1.4673710999218137	2.485354748157042	0.3860746771230115	1.685146177205597	0.6945501381780452	0.7309877627257207	host	bcsA	None	None	3.2545254853505154
gene-b0852	29.025891548579526	37.41853590205512	28.002761766813162	20.232824473350817	13.66258765135598	4.741506716701577	8.811436087411272	2.992023607893403	3.2762904216983797	1.6148546791443315	7.6548193634280635	1.4505997760402527	host	rimK	None	None	10.713936981647104
gene-b4106	0.4101203284101975	1.218284585377399	0.7195755550315537	1.643250518290421	0.1558470074299161	2.13554820745829	0.48021768283736965	1.8358011911382632	0.14239256152445673	1.23416650383274	0.4610967837486186	0.6725906614889572	host	phnC	None	None	0.448341917170117
gene-b0585	17.806586009522654	8.627442330849467	20.72910412924487	6.9606187245102635	3.713770708223944	2.3846273573536396	2.2046901598593456	1.8625594720249241	0.6537274458018075	1.1477146722098117	1.5120754878539489	0.7649898710220845	host	fes	None	None	7.497136648292263
gene-b0916	6.455952556565197	9.720124218945518	7.33191330553487	3.769861363389141	2.692626763405923	1.6684986935755364	2.941228984802673	1.4240654137842086	1.0022911934069423	0.7661719280611792	2.655513593997519	0.4303925644077755	host	ycaQ	None	None	2.3141107023369454
gene-b1869	36.44416233474193	46.30381001659605	28.34314180660708	21.231298999964118	11.281985257559104	7.774566919310393	5.87746945368811	4.463880589596154	3.120770306744343	2.263243300315919	5.205968990252711	1.8489793338035994	host	yecN	None	None	14.27590130053336
gene-b2583	14.350691148190302	17.389495143603067	9.809176045826307	6.990028054160813	4.397828643140337	2.3422250513271274	4.104079878031941	2.1060017973911087	2.3037446041202876	1.2821807538270442	3.296281299559152	0.5093302129893287	host	tapT	None	None	4.67785539002153
gene-b0356	68.39011415903651	46.79525704340467	54.64989340580287	30.353744227936687	29.87306327012699	4.639916267268136	15.555530091508418	2.402094723491261	5.9041600397865945	1.8898164218094473	16.933883233794987	1.2890132147091993	host	frmA	None	None	20.78313447256246
gene-b2678	66.17539881632645	31.612454154231628	90.17490092530524	43.48063712568551	38.44767623578767	6.924534021286872	17.635873623107116	3.3251694423495093	4.676760008980255	2.224405459441065	12.411513145278544	1.8102269823443742	host	proW	None	None	28.091171856379166
gene-b4841	400.1319139602072	323.63604815932126	205.2147347774975	93.85400991620935	54.20962197150921	10.111019663403223	33.56286382706218	4.13206337886881	15.43606818389675	3.9069064818008017	28.25250723362952	1.8539041085902914	host	ascrp	None	None	175.5015566428072
gene-b0947	30.725993317827992	25.42005178816009	26.47903402599376	13.909369939435951	9.046848579951932	2.601621261999279	3.657256291106995	1.9014363997480714	1.9905453848423378	1.0343798890735312	5.134790399924932	0.6233256390377817	host	ycbX	None	None	11.19156816764234
gene-T4p014	0.283846437820742	0.017788632353667327	0.9577346709175031	13.086426401147472	41.28738110431697	517.1898212157782	301.89474372585255	1260.7575011821637	591.468098662441	769.3153526051672	70.3853454502588	316.96469723979857	phage	dexA	early	middle	448.100082527167
gene-T4p133	0.22471176327475406	0.0422480018399599	316.7787235282218	2015.8921814364078	1209.2813257663724	1494.7313050911453	52.81179674811031	1199.6697746247812	2515.4708993320546	2377.8566936371203	378.54284812212546	1515.77502250555	phage	trna.2	early	late	724.5185256045191
gene-b1266	38.08176494354199	44.35177989076607	32.82879904638853	82.36395993001952	12.872574079678932	3.2633255735349365	6.689212980514517	1.4813587759618112	3.184459496677901	0.9502376173196236	8.387047280815294	0.9215470860485269	host	rnm	None	None	29.601806329929527
gene-b1507	7.386443810500759	5.839995900598539	1.9476110042603556	2.015609338167417	0.5266757144513643	1.1364815430221171	0.6136892642673868	1.157381366437735	0.08491891991141069	0.6627861608279455	0.6416320324120989	0.5635907798974462	host	hipA	None	None	2.5914136844772107
gene-b2436	29.84172216288734	35.10977944908028	18.48811008739148	17.10456354989702	5.055157431001712	4.248168007816674	3.307785134401215	3.2647538706785513	1.7892416425334234	1.9432084639036786	4.446509984615846	1.037464000508515	host	hemF	None	None	12.219791454606952
gene-b2798	8.988470530990163	11.604117838708987	7.683160360027081	4.336127732267804	2.9819139715261063	1.9888427002887052	2.0763153441046587	1.462366996782814	1.2384009153747393	0.7241213442194819	2.0853041053393215	0.5420118536401115	host	ygdG	None	None	3.175428056585804
gene-b1387	0.6642506081552847	1.0288193761848299	0.36287190464088387	1.4417082800887981	0.22036431695735453	1.5234185141214363	0.29100748983001895	1.314747438730985	0.05491091448817026	0.8595194259961765	0.1778129825892767	0.5154597610071	host	paaZ	None	None	0.3518098717008609
gene-b2095	297.2472259398039	124.72814361735924	231.5033516656741	70.35634474625216	89.60191093917781	9.353702010858994	30.38505282172915	3.2064449424549304	20.90397212593598	2.3129628777292917	53.865085324324966	1.228596784552711	host	gatZ	None	None	109.17750975316265
