Geneid	0_R1	0_R2	10_R1	10_R2	30_R1	30_R2	50_R1	50_R2	70_R1	70_R2	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-HB27c_C1282	51	130	57	63	101	65	57	44	50	19	host	gene-HB27c_C1282	None	None	15.370569726283456
gene-HB27c_C1749	107	117	37	33	75	45	51	23	33	15	host	gene-HB27c_C1749	None	None	19.185624609280918
gene-HB27c_C0594	92	186	64	87	126	91	63	23	46	23	host	gene-HB27c_C0594	None	None	23.452176553342916
gene-HB27c_C0778	42	46	14	22	30	21	13	18	7	10	host	gene-HB27c_C0778	None	None	9.219611387801926
gene-HB27c_P0136	1	1	1	1	0	0	0	0	0	0	host	gene-HB27c_P0136	None	None	1.644152248436503
gene-HB27c_C1522	38	62	43	26	65	40	17	28	20	12	host	gene-HB27c_C1522	None	None	17.58890738639297
gene-HB27c_C0468	73	105	35	37	74	60	58	42	47	49	host	gene-HB27c_C0468	None	None	3.222832328267951
gene-HB27c_C0014	48	67	35	32	70	44	29	31	35	12	host	gene-HB27c_C0014	None	None	5.998690546984739
gene-HB27c_C1399	25	30	9	10	27	6	13	10	13	3	host	gene-HB27c_C1399	None	None	4.835519049026971
gene-HB27c_C0159	83	129	34	26	98	47	35	42	40	23	host	gene-HB27c_C0159	None	None	12.822223709316116
gene-HB27c_C0135	17	21	5	6	13	10	8	5	8	7	host	gene-HB27c_C0135	None	None	3.0525398589794848
gene-HB27c_P0188	8	6	3	5	1	7	2	3	3	0	host	gene-HB27c_P0188	None	None	1.5360963077266312
gene-HB27c_C1392	212	289	142	155	260	183	159	112	135	78	host	gene-HB27c_C1392	None	None	13.926930540996775
gene-HB27c_C1194	225	299	103	142	295	161	144	71	120	62	host	gene-HB27c_C1194	None	None	17.218018886247044
gene-HB27c_C1102	76	107	64	62	70	48	39	30	24	27	host	gene-HB27c_C1102	None	None	18.982391440869915
gene-HB27c_C1371	94	138	43	68	127	67	90	34	73	31	host	gene-HB27c_C1371	None	None	8.159053650360555
gene-HB27c_C1860	772	1273	505	636	1316	862	532	399	412	242	host	gene-HB27c_C1860	None	None	34.32949424533886
gene-HB27c_C0875	20	41	8	11	31	22	19	19	43	21	host	gene-HB27c_C0875	None	None	2.6732830528787415
gene-HB27c_C1893	183	283	174	165	228	159	123	122	105	58	host	gene-HB27c_C1893	None	None	16.877895907404472
gene-HB27c_C1011	295	365	172	195	285	223	217	148	192	113	host	gene-HB27c_C1011	None	None	10.295854017470143
gene-HB27c_C2050	50	66	20	19	40	24	17	16	19	13	host	gene-HB27c_C2050	None	None	10.53672413709261
gene-HB27c_C0538	68	105	50	50	73	50	40	37	30	24	host	gene-HB27c_C0538	None	None	11.411834521101659
gene-HB27c_C0435	68	114	42	48	102	66	47	32	42	18	host	gene-HB27c_C0435	None	None	11.071352715221366
gene-HB27c_C2049	103	174	60	68	172	83	66	50	74	47	host	gene-HB27c_C2049	None	None	10.989082173242743
gene-HB27c_P0254	15	25	20	14	12	20	6	15	11	8	host	gene-HB27c_P0254	None	None	7.526325515122325
gene-HB27c_C1599	839	1161	1049	1052	1464	1120	731	876	622	538	host	gene-HB27c_C1599	None	None	862.2647492323367
